WAV_FILE,WER,GroundTruth_Sentence,ASR_Sentence,Intent
1269.wav,0.6666666666666666,I'd like to listen to Juliander,listen to julliard,PlayMusic
127.wav,0.16666666666666666,I'd like to listen to Otilia,i'd like to listen to julia,PlayMusic
1270.wav,0.8571428571428571,I'd like to listen to Kane Brown,was name brown,PlayMusic
1271.wav,1.0,I'd like to listen to Wham!,wasn't aware,PlayMusic
1272.wav,1.0,I'd like to listen to Majid Jordan,i was in the majority,PlayMusic
1273.wav,0.16666666666666666,I'd like to listen to SFB,i'd like to listen to be,PlayMusic
1274.wav,0.625,I'd like to listen to Moira Dela Torre,i'm going to listen to more regulatory,PlayMusic
1275.wav,0.0,I'd like to listen to LSD,i'd like to listen to lsd,PlayMusic
1276.wav,0.16666666666666666,I'd like to listen to ALMA,[noise] i'd like to listen to alma,PlayMusic
1277.wav,0.42857142857142855,I'd like to listen to Lenny Tavárez,i'd like to listen to lennie to marriage,PlayMusic
1278.wav,0.16666666666666666,I'd like to listen to Coez,i'd like to listen to cause,PlayMusic
1279.wav,1.0,I'd like to listen to Felipe Araújo,i we're just <unk>,PlayMusic
128.wav,0.3333333333333333,I'd like to listen to Sikai,i'd like to listen to some guy,PlayMusic
1280.wav,0.42857142857142855,I'd like to listen to Cashmere Cat,i like to listen to kashmir act,PlayMusic
1281.wav,0.16666666666666666,I'd like to listen to Dyo,i'd like to listen to dial,PlayMusic
1282.wav,0.2857142857142857,I'd like to listen to Nengo Flow,i'd like to listen to mingle slow,PlayMusic
129.wav,0.16666666666666666,I'd like to listen to Pimeys,i'd like to listen to these,PlayMusic
13.wav,0.0,I'd like to listen to Blow,i'd like to listen to blow,PlayMusic
130.wav,0.125,I'd like to listen to The Band Perry,i like to listen to the band perry,PlayMusic
131.wav,0.2857142857142857,I'd like to listen to Beta Radio,i like to listen to the radio,PlayMusic
133.wav,0.5,I'd like to listen to Skaldowie,[noise] i'd like to listen to skill doing,PlayMusic
134.wav,0.16666666666666666,I'd like to listen to RUMORS,[noise] i'd like to listen to rumors,PlayMusic
135.wav,0.0,I'd like to listen to Marina Maximilian,i'd like to listen to marina maximilian,PlayMusic
136.wav,0.5,I'd like to listen to Kéfera,i like to listen to your uh,PlayMusic
137.wav,0.7142857142857143,I'd like to listen to Boy Peacemaker,i like a newborn peacemaker,PlayMusic
138.wav,0.8333333333333334,I'd like to listen to KIRINJI,like new <unk>,PlayMusic
139.wav,0.42857142857142855,I'd like to listen to Antek Smykiewicz,i like to listen to <unk>,PlayMusic
14.wav,0.16666666666666666,I'd like to listen to Kizo,i'd like to listen to though,PlayMusic
140.wav,0.3333333333333333,I'd like to listen to Ella,i like to listen ella,PlayMusic
141.wav,0.7142857142857143,I'd like to listen to Idan Amedi,i like to listen to it then i'm maybe,PlayMusic
142.wav,0.42857142857142855,I'd like to listen to Lea Salonga,like to listen to me longer,PlayMusic
143.wav,0.5,I'd like to listen to Ventino,like to listen to you know,PlayMusic
144.wav,0.625,I'd like to listen to Neri Per Caso,i like to listen who near very so,PlayMusic
145.wav,0.8571428571428571,I'd like to listen to Stina Girs,to or,PlayMusic
146.wav,1.0,I'd like to listen to Lin Zheng-Zhong,late to loosen boot lean thing don't,PlayMusic
147.wav,0.5,I'd like to listen to AGWA,i'd like to listen to it g._w. way,PlayMusic
148.wav,0.7142857142857143,I'd like to listen to Guo Ding,i like to listen do you were doing,PlayMusic
149.wav,0.6666666666666666,I'd like to listen to Raline,and like listen do rolling,PlayMusic
15.wav,0.4,I'd like to listen to eason and the duo band,i'd like to listen to even do the and,PlayMusic
150.wav,0.5,I'd like to listen to Pianomies,like to listen enemies,PlayMusic
151.wav,0.8571428571428571,I'd like to listen to Anh Khang,hey listen do i'm gong,PlayMusic
152.wav,0.8333333333333334,I'd like to listen to SBTRKT,i like to listen to be g. r. d.,PlayMusic
153.wav,0.42857142857142855,I'd like to listen to Camila Queiroz,i like to listen to <unk> luxuries,PlayMusic
154.wav,1.0,I'd like to listen to Stu Larsen,late do loosen booze do nursing,PlayMusic
155.wav,0.7142857142857143,I'd like to listen to Saint Michel,like listen to the same way,PlayMusic
156.wav,0.2857142857142857,I'd like to listen to Mosta Man,i'd like to listen to most demand,PlayMusic
157.wav,0.0,I'd like to listen to Both,i'd like to listen to both,PlayMusic
158.wav,0.42857142857142855,I'd like to listen to Samuli Putro,i'd like to listen to some really neutral,PlayMusic
159.wav,0.2857142857142857,I'd like to listen to Prins Póló,i'd like to listen to print pool,PlayMusic
16.wav,0.3333333333333333,I'd like to listen to DaVido,i'd like to listen to you know,PlayMusic
160.wav,0.16666666666666666,I'd like to listen to Chebaleba,i'd like to listen to <unk>,PlayMusic
161.wav,0.5,I'd like to listen to Eini,and like to listen tiny,PlayMusic
162.wav,0.2857142857142857,I'd like to listen to Nine Chen,i'd like to listen to mention,PlayMusic
163.wav,0.14285714285714285,I'd like to listen to Bjarki Gucci,i'd like to listen to barking gucci,PlayMusic
164.wav,0.2857142857142857,I'd like to listen to ATMO Music,i like to listen to music,PlayMusic
165.wav,0.42857142857142855,I'd like to listen to Maj Monet,i'd like to listen too much money,PlayMusic
166.wav,0.8333333333333334,I'd like to listen to Chara,like new car,PlayMusic
167.wav,0.6666666666666666,I'd like to listen to Fasma,i like to listen your past my,PlayMusic
168.wav,0.5714285714285714,I'd like to listen to Barbora Poláková,i like to listen your barbara <unk>,PlayMusic
169.wav,0.2857142857142857,I'd like to listen to Scott Helman,i like to listen to scott helmet,PlayMusic
17.wav,0.42857142857142855,I'd like to listen to Reo Cragun,i like to listen to real again,PlayMusic
170.wav,0.75,I'd like to listen to Eves The Behavior,i like to listen to me that you came here,PlayMusic
171.wav,0.5,I'd like to listen to Justsesomali,i like to listen to just somali,PlayMusic
172.wav,0.7142857142857143,I'd like to listen to Edu Chociay,i'd like to us new i do okay,PlayMusic
173.wav,0.42857142857142855,I'd like to listen to Ray Charles,i like to listen to rain tomorrow,PlayMusic
174.wav,0.8571428571428571,I'd like to listen to Lili Pistorius,[noise] i like to nearly foster,PlayMusic
175.wav,0.16666666666666666,I'd like to listen to Monica,i'd like to listen i'm monica,PlayMusic
176.wav,0.5,I'd like to listen to Folkeklubben,i'd like to russia folk loving,PlayMusic
177.wav,0.375,I'd like to listen to Suspekt & Folkeklubben,i'd like to listen to suspecting folk lover,PlayMusic
179.wav,0.14285714285714285,I'd like to listen to Little Dragon,i'd like to listen a little dragon,PlayMusic
18.wav,0.2857142857142857,I'd like to listen to Mac Kregor,[noise] i'd like to listen to mac kruger,PlayMusic
180.wav,0.14285714285714285,I'd like to listen to Side Baby,i'd like to listen to a baby,PlayMusic
181.wav,1.0,I'd like to listen to SHINee,[noise] i'm trying to rush into shiny,PlayMusic
182.wav,1.0,I'd like to listen to Los Toribianitos,original <unk> on a coast,PlayMusic
183.wav,0.5,I'd like to listen to Mina,[noise] i'd like to listen to me now,PlayMusic
184.wav,0.7142857142857143,I'd like to listen to Young Juju,[noise] i'd like to <unk> jew jew,PlayMusic
185.wav,0.3,I'd like to listen to Kyle Dixon & Michael Stein,i'd like to listen to <unk> addiction and michael stein,PlayMusic
186.wav,0.2857142857142857,I'd like to listen to Vanessa Williams,i'd like to listen to the national williams,PlayMusic
187.wav,0.3333333333333333,I'd like to listen to Luciana,i like to listen to louisiana,PlayMusic
188.wav,0.16666666666666666,I'd like to listen to Caballero,i'd like to listen to <unk>,PlayMusic
189.wav,0.0,I'd like to listen to Mike,i'd like to listen to mike,PlayMusic
19.wav,0.2857142857142857,I'd like to listen to Kappa Jotta,i'd like to listen to catholic jonah,PlayMusic
190.wav,0.3333333333333333,I'd like to listen to Ravi,i like to listen to me,PlayMusic
191.wav,0.3333333333333333,I'd like to listen to Nate,i like to listen to need,PlayMusic
192.wav,0.8333333333333334,I'd like to listen to W.A.R.I.S,i'd like to listen to w. a. r. i. s.,PlayMusic
193.wav,0.375,I'd like to listen to Tegan and Sara,i'd like to listen to <unk> i'm sarah,PlayMusic
194.wav,0.42857142857142855,I'd like to listen to Stanly Hsu,i'd like to listen to this family who,PlayMusic
195.wav,0.8571428571428571,I'd like to listen to Sam Lee,or like pollution through family,PlayMusic
196.wav,0.3333333333333333,I'd like to listen to Cry,like to listen to grade,PlayMusic
197.wav,0.8571428571428571,I'd like to listen to Chip Charlez,they do listen do you just,PlayMusic
198.wav,0.8571428571428571,I'd like to listen to Katie Melua,listen <unk>,PlayMusic
199.wav,0.5,I'd like to listen to Miwata,i like to listen to what uh,PlayMusic
2.wav,0.3333333333333333,I'd like to listen to Nisj,i like to listen to news,PlayMusic
20.wav,0.42857142857142855,I'd like to listen to Hikari Mitsushima,i'd like to listen to him chinese shima,PlayMusic
200.wav,0.25,I'd like to listen to Young the Giant,i like to listen to young the james,PlayMusic
201.wav,0.6666666666666666,I'd like to listen to Zack,i do listen to music,PlayMusic
202.wav,1.0,I'd like to listen to Herencia de Timbiqui,<unk> degree,PlayMusic
203.wav,1.0,I'd like to listen to Adolf Fredriks Ungdomskör,they do don't for drugs 'cause,PlayMusic
204.wav,1.0,I'd like to listen to Zoë Ackerman,blues in brazil going man,PlayMusic
205.wav,0.5,I'd like to listen to Niji Dyall Prince,i like to listen to meet you john prince,PlayMusic
206.wav,0.5714285714285714,I'd like to listen to Matthew Chaim,like to listen to that he tried,PlayMusic
207.wav,0.3333333333333333,I'd like to listen to Mavado,i like to listen to nevada,PlayMusic
208.wav,0.42857142857142855,I'd like to listen to LeAnn Rimes,i like to listen to begin rhymes,PlayMusic
209.wav,1.0,I'd like to listen to Die Lochis,turns into done though 'cause,PlayMusic
21.wav,0.7142857142857143,I'd like to listen to ToTo H,i'd like <unk> h.,PlayMusic
210.wav,0.14285714285714285,I'd like to listen to Regina Lund,i'd like to listen to regina learned,PlayMusic
211.wav,0.42857142857142855,I'd like to listen to Sandy Lam,to listen to sandy lamb,PlayMusic
212.wav,0.42857142857142855,I'd like to listen to Jordan Rakei,to listen to jordan okay,PlayMusic
213.wav,0.42857142857142855,I'd like to listen to Eric Benét,need to listen to eric bunny,PlayMusic
214.wav,0.3333333333333333,I'd like to listen to Alee,like to listen to me,PlayMusic
215.wav,0.2857142857142857,I'd like to listen to Inner Circle,i'd like to lessen the inner circle,PlayMusic
216.wav,0.5714285714285714,I'd like to listen to La Sabiduria,i'd like to russia last summer yeah,PlayMusic
217.wav,0.42857142857142855,I'd like to listen to Tivi Gunz,and like to listen to be guns,PlayMusic
218.wav,0.8571428571428571,I'd like to listen to Peppe Servillo,and like <unk>,PlayMusic
219.wav,0.8333333333333334,I'd like to listen to Neptunica,and like <unk> communicate,PlayMusic
22.wav,0.5,I'd like to listen to Rytmeklubben,i'd like to to rock climbing,PlayMusic
220.wav,0.7142857142857143,I'd like to listen to Kristel Aaslaid,and like to crystal isolated,PlayMusic
221.wav,0.6666666666666666,I'd like to listen to Genuino,like to listen in january no,PlayMusic
222.wav,0.5714285714285714,I'd like to listen to Kim Karlsson,like to listen can carlson,PlayMusic
223.wav,0.0,I'd like to listen to Michelle Branch,i'd like to listen to michelle branch,PlayMusic
224.wav,0.8333333333333334,I'd like to listen to JONNY5,and like <unk> johnny by,PlayMusic
225.wav,0.2857142857142857,I'd like to listen to The Brinks,i like to listen to the bronx,PlayMusic
226.wav,0.8333333333333334,I'd like to listen to Palmy,i like the palm,PlayMusic
227.wav,0.625,I'd like to listen to DJ Smallz 732,i'd like to listen a small seven three too,PlayMusic
228.wav,0.42857142857142855,I'd like to listen to Luz Casal,like to listen to lose casual,PlayMusic
229.wav,0.2857142857142857,I'd like to listen to Daniel Kvammen,i like to listen to daniel kaufman,PlayMusic
23.wav,0.14285714285714285,I'd like to listen to Marco Carta,i'd like to listen to marco carla,PlayMusic
230.wav,0.8571428571428571,I'd like to listen to Czesław Mozil,like <unk>,PlayMusic
231.wav,0.6666666666666666,I'd like to listen to dePresno,i like to listen to the pros no,PlayMusic
232.wav,0.5,I'd like to listen to Boyinaband,i like to listen to to ban,PlayMusic
233.wav,0.5,I'd like to listen to Dj Brasil Mix,like to listen to d._j. brazil man,PlayMusic
234.wav,0.5,I'd like to listen to Deee-Lite,i like to listen to be like,PlayMusic
235.wav,0.8333333333333334,I'd like to listen to JFDR,like pollution do g._s._t. or,PlayMusic
236.wav,1.0,I'd like to listen to VEECIOUS V,hey lady listen do research excuse me,PlayMusic
237.wav,1.0,I'd like to listen to Nguyen Ha,do loosen do need you and uh,PlayMusic
238.wav,1.0,I'd like to listen to Edyta Gorniak,like delusion do did a good match,PlayMusic
239.wav,1.0,I'd like to listen to Koys,do loosen degrees,PlayMusic
24.wav,0.3333333333333333,I'd like to listen to Sudirman,i'd like to listen to them and,PlayMusic
240.wav,0.7142857142857143,I'd like to listen to Melissa Etheridge,do listen do melissa appendage,PlayMusic
241.wav,0.7142857142857143,I'd like to listen to Ziana Zain,like do listen do yeah not,PlayMusic
242.wav,0.5714285714285714,I'd like to listen to Carla Bruni,i like to listen to god love me,PlayMusic
243.wav,0.8571428571428571,I'd like to listen to White Sea,i do listen do word see,PlayMusic
244.wav,0.3333333333333333,I'd like to listen to Dalida,i like to listen to w._d._c.,PlayMusic
245.wav,0.5,I'd like to listen to Wei Min Ying,i like to listen to remain mean,PlayMusic
246.wav,0.5,I'd like to listen to Min Xiong Lee,i like to listen to in johnny,PlayMusic
247.wav,0.7142857142857143,I'd like to listen to Sandrine Pinna,i like to <unk> you know,PlayMusic
248.wav,0.8571428571428571,I'd like to listen to Lil Saint,like the real thing,PlayMusic
249.wav,0.5,I'd like to listen to SuperStereo,i like to listen to super stereo,PlayMusic
25.wav,0.75,I'd like to listen to Paco de Lucía,[noise] i'd like to <unk> lucia,PlayMusic
250.wav,0.5,I'd like to listen to SpeXial,i like to listen the special,PlayMusic
251.wav,0.16666666666666666,I'd like to listen to Carmel,i like to listen to carmel,PlayMusic
252.wav,0.5,I'd like to listen to Summer All Stars,i like to summer all star,PlayMusic
253.wav,0.8571428571428571,I'd like to listen to Kaitie Forbes,i like listening for,PlayMusic
254.wav,0.3333333333333333,I'd like to listen to HuyR,i like to listen to share,PlayMusic
255.wav,0.5,I'd like to listen to Emir Can İğrek,like to listen to american <unk>,PlayMusic
256.wav,0.7142857142857143,I'd like to listen to Maricarmen Marin,like to listen to a marriage in married,PlayMusic
257.wav,0.875,I'd like to listen to GAMPER & DADONI,i like to listen to a game for him to tony,PlayMusic
258.wav,0.625,I'd like to listen to Maycon e Vinicius,i like to listen to make current event because,PlayMusic
259.wav,0.7142857142857143,I'd like to listen to Rob Dekay,listen to bomb decay,PlayMusic
26.wav,0.3333333333333333,I'd like to listen to Sting,i'd like to listen to a game,PlayMusic
260.wav,0.3333333333333333,I'd like to listen to Seeed,i like to listen to see,PlayMusic
261.wav,0.5714285714285714,I'd like to listen to Enrico Ruggeri,i like to listen to him because gary,PlayMusic
262.wav,0.14285714285714285,I'd like to listen to Nick Murphy,i like to listen to nick murphy,PlayMusic
263.wav,0.8571428571428571,I'd like to listen to Adventure Club,listens adventure but,PlayMusic
264.wav,0.5714285714285714,I'd like to listen to Teresa Brewer,like listen this recent brewer,PlayMusic
265.wav,0.5714285714285714,I'd like to listen to Dinah Washington,i listen to washington,PlayMusic
266.wav,0.42857142857142855,I'd like to listen to Fay Lovsky,like to listen to a lousy,PlayMusic
267.wav,0.2857142857142857,I'd like to listen to Dana Daoud,i like to listen to dana down,PlayMusic
268.wav,0.3333333333333333,I'd like to listen to Selena,i like to listen to salina,PlayMusic
269.wav,1.0,I'd like to listen to Lao Che,wasn't allowed allow a,PlayMusic
27.wav,0.8571428571428571,I'd like to listen to Beau Monga,and like tuition and vote longer,PlayMusic
270.wav,0.5714285714285714,I'd like to listen to Gonzo Vizán,i like to listen to gone to visit,PlayMusic
271.wav,0.42857142857142855,I'd like to listen to Kevin Johansen,i like to listen to kevin joe handsome,PlayMusic
272.wav,0.8571428571428571,I'd like to listen to Kohmi Hirose,i like to listen to show me she wrote she,PlayMusic
273.wav,0.3333333333333333,I'd like to listen to AKLO,i like to listen to aquila,PlayMusic
274.wav,0.3333333333333333,I'd like to listen to Ninetoes,i'd like to listen to nine toes,PlayMusic
275.wav,0.8571428571428571,I'd like to listen to Jeff Buckley,like tours just luckily,PlayMusic
276.wav,0.16666666666666666,I'd like to listen to Wings,like to listen to wings,PlayMusic
277.wav,0.42857142857142855,I'd like to listen to Xmas Classics,i'd like to us next christmas classics,PlayMusic
278.wav,0.3333333333333333,I'd like to listen to Infernal,like to listen to infertile,PlayMusic
279.wav,1.0,I'd like to listen to GAZIROVKA,<unk> guess iraq uh,PlayMusic
28.wav,0.2857142857142857,I'd like to listen to Ivri Lider,i'd like to listen to iraqi leader,PlayMusic
280.wav,0.5,I'd like to listen to Micael,like listen to michael,PlayMusic
281.wav,1.0,I'd like to listen to Eivør,and they do it either,PlayMusic
282.wav,0.5714285714285714,I'd like to listen to Bae Fong,to listen to a song,PlayMusic
1020.wav,0.6666666666666666,I'd like to listen to Darell,they do listen to,PlayMusic
1021.wav,0.75,I'd like to listen to Digital Farm Animals,they like do listen do did you jump farm animals,PlayMusic
1022.wav,1.0,I'd like to listen to Starley,let him do startling,PlayMusic
1023.wav,1.0,I'd like to listen to Sam Hunt,do loosen do salmon,PlayMusic
1024.wav,0.8333333333333334,I'd like to listen to Dakota,hey do listen to go down,PlayMusic
1025.wav,0.42857142857142855,I'd like to listen to Vance Joy,i like to listen to them or,PlayMusic
1026.wav,0.5714285714285714,I'd like to listen to Ryan Riback,like to listen to and read back,PlayMusic
1027.wav,0.25,I'd like to listen to Portugal. The Man,i like to listen to portugal with the man,PlayMusic
1028.wav,0.8333333333333334,I'd like to listen to gnash,like twenty minutes,PlayMusic
1029.wav,0.7142857142857143,I'd like to listen to Olivia O'Brien,i like to live near olympia o'brian,PlayMusic
103.wav,1.0,I'd like to listen to Cecilie Noer,i love lucy leave more,PlayMusic
1030.wav,0.8333333333333334,I'd like to listen to Kiiara,i like plus do cara,PlayMusic
1031.wav,0.5,I'd like to listen to ROZES,i like to listen to rhode and,PlayMusic
1032.wav,0.5,I'd like to listen to Miguel,i like to listen to me grow,PlayMusic
1033.wav,0.14285714285714285,I'd like to listen to James Bay,i like to listen to james bay,PlayMusic
1034.wav,0.375,I'd like to listen to Rich The Kid,like to listen to the rich kid,PlayMusic
1035.wav,0.2857142857142857,I'd like to listen to Mike Perry,i'd like to listen to my parents,PlayMusic
1036.wav,0.5,I'd like to listen to A Boogie Wit da Hoodie,i'd like to listen to do with the whole,PlayMusic
1037.wav,0.16666666666666666,I'd like to listen to Kehlani,i'd like to listen to county,PlayMusic
1038.wav,0.2857142857142857,I'd like to listen to George Ezra,i like to listen to george etcetera,PlayMusic
