,Unnamed: 0,transcript,user_action,user_action_num
39,39,turn the lights down in the living room,DecreaseBrightness,3
40,40,laundry made bring,SetLightColor,5
41,41,turned the lights in the garden off,SwitchLightOff,0
42,42,turned the lights in the large dining room Make,SetLightColor,5
43,43,are the lights in the waiting room to have,SetLightBrightness,4
44,44,turned the light in the waiting room to thirty nine,SetLightBrightness,4
45,45,turn the lights off,SwitchLightOff,0
46,46,turn the lights off in the basement,SwitchLightOff,0
47,47,can you turn off the lights in the parking room,SwitchLightOff,0
48,48,turn the lights off in the dining room,SwitchLightOff,0
49,49,turn the lights off in the dining room,SwitchLightOff,0
50,50,sun the lights off in the laundry,SwitchLightOff,0
51,51,turn the lights off in the office,SwitchLightOff,0
52,52,turn the lights off in shed,SwitchLightOff,0
53,53,turn the lights off and the toilet,SwitchLightOff,0
54,54,turn the flat off laundry,SwitchLightOff,0
55,55,turn the lights off,SwitchLightOff,0
56,56,from the lights on,SwitchLightOn,1
57,57,turned the lights on above the toilets,SwitchLightOn,1
58,58,can you turn off the lights please,SwitchLightOff,0
59,59,and the light on everywhere,SwitchLightOn,1
60,60,turn the light on in appartment,SwitchLightOn,1
61,61,turn the light on in the bedroom,SwitchLightOn,1
62,62,turned the light on in changing room,SwitchLightOn,1
63,63,turn the lights on in the kitchen,SwitchLightOn,1
64,64,turned the lights on in the meeting room,SwitchLightOn,1
65,65,turn the lights on in the pantry,SwitchLightOn,1
66,66,turn the lights on in small meeting room,SwitchLightOn,1
67,67,turn the lights on in the studio,SwitchLightOn,1
68,68,done the light on now,SwitchLightOn,1
69,69,at the brightness to level ten,SetLightBrightness,4
70,70,can you turn off the lights,SwitchLightOff,0
71,71,turn the lights on pink,SetLightColor,5
72,72,turn the lights on please,SwitchLightOn,1
73,73,turn the if on the kitchen,SwitchLightOn,1
74,74,done the light on,SwitchLightOn,1
75,75,turn the lights pink please,SetLightColor,5
76,76,turned the lights area in the bedroom,SetLightColor,5
77,77,turned the lights to darker setting in the office,DecreaseBrightness,3
78,78,turn the lights to higher setting,IncreaseBrightness,2
79,79,turn the lights to lower setting,DecreaseBrightness,3
80,80,tad stop but in the house,SetLightBrightness,4
81,81,can you turn on that from if,SwitchLightOn,1
82,82,turn the flat percent notch in the cellar,IncreaseBrightness,2
83,83,turn the lights up and notch please,IncreaseBrightness,2
84,84,turn the lights up in the entrance,IncreaseBrightness,2
85,85,turn the flat Stop in the let,IncreaseBrightness,2
86,86,turned the lights up into studio,IncreaseBrightness,2
87,87,turn the lights up in the toilets,IncreaseBrightness,2
88,88,turn the living room light up,IncreaseBrightness,2
89,89,turn the lounge lights red,SetLightColor,5
90,90,turned the patio light pink,SetLightColor,5
91,91,can you turn on the light,SwitchLightOn,1
92,92,turn the studio lights on,SwitchLightOn,1
93,93,turn the studio lights the thirty nine,SetLightBrightness,4
94,94,turn the vestibule lights to two,SetLightBrightness,4
95,95,gimme the vestibule lights up,IncreaseBrightness,2
96,96,turn on the waiting room brightness to two,SetLightBrightness,4
97,97,here bring large to gimme bedroom,SetLightBrightness,4
98,98,turn toilet room lights on,SwitchLightOn,1
99,99,turn up the brightness,IncreaseBrightness,2
100,100,turn up the brightness and the changing room,IncreaseBrightness,2
101,101,turn up the lighting,IncreaseBrightness,2
102,102,can you turn to brightness down in the backyard yard,DecreaseBrightness,3
103,103,turn up the lights,IncreaseBrightness,2
104,104,turn up the lights in the cella,IncreaseBrightness,2
105,105,turn up to light in the kids room,IncreaseBrightness,2
106,106,turn up lights in the kitchen,IncreaseBrightness,2
107,107,turn up the lights in the pantry,IncreaseBrightness,2
108,108,turn up the lights in the parking,IncreaseBrightness,2
109,109,turn up the lights in the patio,IncreaseBrightness,2
110,110,stand appartment the light in the toilets,IncreaseBrightness,2
111,111,to up the create,IncreaseBrightness,2
112,112,can you turn the brightness to ten,SetLightBrightness,4
113,113,turn up the lights,IncreaseBrightness,2
114,114,turned able lighting on,SwitchLightOn,1
115,115,we have large meeting room need some red lights in there,SetLightColor,5
116,116,we need the bulb turned brighter in this room,IncreaseBrightness,2
117,117,what do need to do to get the dining room to fifty brightness,SetLightBrightness,4
118,118,will you increase the darkness please,IncreaseBrightness,2
119,119,will you make the entrance lights area for the afternoon.,SetLightColor,5
120,120,we you set the changing room to fifty brightness,SetLightBrightness,4
121,121,would you please turn down the brightness,DecreaseBrightness,3
122,122,would you please turn on the lights and my cubicle,SwitchLightOn,1
123,123,can you turn darkness up in the bedroom,IncreaseBrightness,2
124,124,would you switch my kitchen setting to room,SwitchLightOn,1
125,125,would you turn on my basement lights,SwitchLightOn,1
126,126,would you turn on my basement lights,SwitchLightOn,1
127,127,just brightness of lounge lights to value of twenty two,SetLightBrightness,4
128,128,are flat off,SwitchLightOff,0
129,129,all light off please,SwitchLightOff,0
130,130,basement light should be set to twelve,SetLightBrightness,4
131,131,basement lights should be turned on,SwitchLightOn,1
132,132,bathroom as to twenty two,SetLightBrightness,4
133,133,bathroom is too dark increased tad brightness,IncreaseBrightness,2
134,134,lounge Will done,SwitchLightOn,1
135,135,bathroom lit off,SwitchLightOff,0
136,136,the room brightness to two please,SetLightBrightness,4
137,137,bedroom light down,DecreaseBrightness,3
138,138,boardroom is dark please turn on lights,SwitchLightOn,1
139,139,bright flat and kitchen,IncreaseBrightness,2
140,140,brighten up the cubicle,IncreaseBrightness,2
141,141,bring up the lights,IncreaseBrightness,2
142,142,can the give me some light please,SwitchLightOn,1
143,143,can you give me some light please in the kitchen,SwitchLightOn,1
144,144,can you give me some lights,SwitchLightOn,1
145,145,could you turn to cubicle light to twenty two,SetLightBrightness,4
146,146,can you increase the brightness,IncreaseBrightness,2
147,147,can you increase the brightness in the laundry room,IncreaseBrightness,2
148,148,can you increase the brightness of the entire house,IncreaseBrightness,2
149,149,can you make the bedroom little darker if possible,DecreaseBrightness,3
150,150,can you make the light go blue,SetLightColor,5
151,151,you please turn all the light,SwitchLightOn,1
152,152,the turned down the lights and here,DecreaseBrightness,3
153,153,can the turn off the cellar lights,SwitchLightOff,0
154,154,can you area off the house lights,SwitchLightOff,0
155,155,you turn of the kids bedroom lights,SwitchLightOff,0
156,156,can you turn the lights down one notch,DecreaseBrightness,3
157,157,can you sun the light Throughout,DecreaseBrightness,3
158,158,turn to lights to color,SetLightColor,5
159,159,change on it backyard flat to brightness setting off to,SetLightBrightness,4
160,160,changed bedroom lighting to pink,SetLightColor,5
161,161,changed brightness of lights in the toilets to done entire,SetLightBrightness,4
162,162,changed the color of them to pink,SetLightColor,5
163,163,change favor lot of made rid stop,SetLightColor,5
164,164,change lamp to pink,SetLightColor,5
165,165,change lighting to pink,SetLightColor,5
166,166,changed lights to blue,SetLightColor,5
167,167,and the turned the lights off,SwitchLightOff,0
168,168,change lights to pink,SetLightColor,5
169,169,changing the all tad to pink,SetLightColor,5
170,170,change light to pink,SetLightColor,5
171,171,change the patio like to pink,SetLightColor,5
172,172,change the patio like to green,SetLightColor,5
173,173,change the way,SetLightColor,5
174,174,changing room lighter off please,SwitchLightOff,0
175,175,glow are flat in the kitchen room,SwitchLightOff,0
176,176,create much and bedroom turned lights to red,SetLightColor,5
177,177,cut off the flat in office bulb,SwitchLightOff,0
178,178,adjust of brightness to seventy-three tree,SetLightBrightness,4
179,179,change all of the garden waiting into for,SetLightBrightness,4
180,180,darken the light in the toilet,DecreaseBrightness,3
181,181,decrease brightness in cellar,DecreaseBrightness,3
182,182,increase brightness in the basement,DecreaseBrightness,3
183,183,decrease brightness of bathroom light,DecreaseBrightness,3
184,184,decrease brightness please,DecreaseBrightness,3
185,185,decreased lights in laundry room to all the way off,SwitchLightOff,0
186,186,decreased lighter in the small meeting room,DecreaseBrightness,3
187,187,gimme the basement,DecreaseBrightness,3
188,188,in the bedroom light,DecreaseBrightness,3
189,189,dim the boardroom,DecreaseBrightness,3
190,190,change all the lights to fifty,SetLightBrightness,4
191,191,dim made bedroom lights,DecreaseBrightness,3
192,192,dimmer the lights in the cubicle,DecreaseBrightness,3
193,193,dim the lights in the garden,DecreaseBrightness,3
194,194,dining room light at thirty nine,SetLightBrightness,4
195,195,dining room lights at twenty two percent percent,SetLightBrightness,4
196,196,dining room lights off please,SwitchLightOff,0
197,197,dining room needs to be at twelve percent percent,SetLightBrightness,4
198,198,not waste the lights decrease it please,DecreaseBrightness,3
199,199,double the brightness,IncreaseBrightness,2
200,200,entrance light level to ten,SetLightBrightness,4
201,201,change backyard red lighting to pink please,SetLightColor,5
202,202,enter inside to pink please,SetLightColor,5
203,203,entrance should be lit at intensity too,SetLightBrightness,4
204,204,garage to please,SetLightColor,5
205,205,get the bed dark,SwitchLightOff,0
206,206,get the light on now leave,SwitchLightOn,1
207,207,give me light rid the kitchen,SwitchLightOn,1
208,208,green is what would like to the lights to be at now,SetLightColor,5
209,209,green lights in the leave room,SetLightColor,5
210,210,green lights on in living room,SetLightColor,5
211,211,hallway it be less bright,DecreaseBrightness,3
212,212,changed child's bedroom to have create,SetLightColor,5
213,213,help me turn down the Make,DecreaseBrightness,3
214,214,help me and down the flat in the cellar,DecreaseBrightness,3
215,215,hey bright in the bedroom,IncreaseBrightness,2
216,216,cannot darkness turned up the brightness now,IncreaseBrightness,2
217,217,need if,SwitchLightOn,1
218,218,the need light on in the kitchen,SwitchLightOn,1
219,219,it you brighten up the meeting room,SwitchLightOn,1
220,220,Dim all all meeting on ten dim,SetLightColor,5
221,221,want to turn the made,SwitchLightOn,1
222,222,want you to make the light dimmer,DecreaseBrightness,3
223,223,urgently colored pink,SetLightColor,5
224,224,would like the you to get some nine,SwitchLightOn,1
225,225,illuminate cellar,SwitchLightOn,1
226,226,illuminate the kids room,SwitchLightOn,1
227,227,in my kids bedroom changed the brightness to fifty,SetLightBrightness,4
228,228,in my it's room turned the lights off,SwitchLightOff,0
229,229,in the backyard yard the lights need to be pink,SetLightColor,5
230,230,increase darkness in that on,IncreaseBrightness,2
231,231,increase brightness in the studio,IncreaseBrightness,2
232,232,increased the brightness of light,IncreaseBrightness,2
233,233,increased lighting into garage,IncreaseBrightness,2
234,234,change kids room it to pink,SetLightColor,5
235,235,increase the brightness,IncreaseBrightness,2
236,236,increase the brighness ten Set,IncreaseBrightness,2
237,237,increased the brightness in the basement,IncreaseBrightness,2
238,238,increase the brightness of entrance,IncreaseBrightness,2
239,239,increased the brightness of the garage,IncreaseBrightness,2
240,240,increased darkness after made lights,IncreaseBrightness,2
241,241,increase the brightness on the patio,IncreaseBrightness,2
242,242,is it possible to stand down the Make,DecreaseBrightness,3
243,243,is it possible to turn down the light in the living room,DecreaseBrightness,3
244,244,it's darken here,SwitchLightOn,1
245,245,change the laundry room lights to five less,SetLightBrightness,4
246,246,getting so darken here can you put the lights up,IncreaseBrightness,2
247,247,it's pretty bright in here is there are possibility you can turn the lights down,DecreaseBrightness,3
248,248,it's pretty dark here why don't you turn the lights up,IncreaseBrightness,2
249,249,so dark can here please turn up the lights just little,IncreaseBrightness,2
250,250,way too bright here turned on the brightness please,DecreaseBrightness,3
251,251,create bedroom like to red please,SetLightColor,5
252,252,ten lights on now,SwitchLightOn,1
253,253,kitchen no more lights,SwitchLightOff,0
254,254,and room brightness you,SetLightBrightness,4
255,255,near rid flat soon,SwitchLightOn,1
256,256,change light color to area,SetLightColor,5
257,257,laundry room lights to two,SetLightBrightness,4
258,258,let there be light,SwitchLightOn,1
259,259,cublicle lighting percent room,SetLightBrightness,4
260,260,light are in the that room,SwitchLightOn,1
261,261,light up garage,SwitchLightOn,1
262,262,lighting up ten made blue,IncreaseBrightness,2
263,263,lights are off,SwitchLightOff,0
264,264,lights at seventy-three tree in the bedroom please,SetLightBrightness,4
265,265,lights need brighten in the lounge,IncreaseBrightness,2
266,266,lights off changing room,SwitchLightOff,0
267,267,certain light colored pink,SetLightColor,5
268,268,lights off for entire house,SwitchLightOff,0
269,269,light in the garden,SwitchLightOff,0
270,270,light for in the toilets,SwitchLightOff,0
271,271,lights on,SwitchLightOn,1
272,272,like brighness please lit brighness please,SwitchLightOn,1
273,273,light should be set at level twenty two,SetLightBrightness,4
274,274,Quickly its way down in small meeting room,SwitchLightOff,0
275,275,living room lights,SwitchLightOff,0
276,276,the living room lights on for now please,SwitchLightOn,1
277,277,changed the light level to twenty in the bedroom,SetLightBrightness,4
278,278,lounge lights on please,SwitchLightOn,1
279,279,kids bedroom lights,DecreaseBrightness,3
280,280,lower lights brightness,DecreaseBrightness,3
281,281,able brightness,DecreaseBrightness,3
282,282,lower the brightness of lightbulb,DecreaseBrightness,3
283,283,above light in children's play room,DecreaseBrightness,3
284,284,light lights red colored,SetLightColor,5
285,285,make all lights pink and color,SetLightColor,5
286,286,make it darker in here,DecreaseBrightness,3
287,287,make it darker in the waiting room,DecreaseBrightness,3
288,288,i'd just the brightness to twenty two,SetLightBrightness,4
289,289,change lights and room Will level five,SetLightBrightness,4
290,290,make it less bright in the bedroom,DecreaseBrightness,3
291,291,make it lighter in here,IncreaseBrightness,2
292,292,make it to the lounge the pink,SetLightColor,5
293,293,make flat area,SetLightColor,5
294,294,make the light blue,SetLightColor,5
295,295,make the light color to pink,SetLightColor,5
296,296,make the light pink,SetLightColor,5
297,297,make the light area,SetLightColor,5
298,298,make the lights go off,SwitchLightOff,0
299,299,make the lights area in the office,SetLightColor,5
300,300,change lights to blue,SetLightColor,5
301,301,make lights to level thirty two,SetLightBrightness,4
302,302,make the living room lighter,IncreaseBrightness,2
303,303,make the brightest brighter,IncreaseBrightness,2
304,304,if pretty living room rid be two seventy-three tree,SetLightBrightness,4
305,305,modify the cellar of all to pink,SetLightColor,5
306,306,need light,SwitchLightOn,1
307,307,made light in the kitchen,SwitchLightOn,1
308,308,no more light in here,SwitchLightOff,0
309,309,pantry light level should be two percent percent,SetLightBrightness,4
310,310,pantry tad off,SwitchLightOff,0
311,311,change to pink,SetLightColor,5
312,312,pantry make it dark,SwitchLightOff,0
313,313,parking lights on please,SwitchLightOn,1
314,314,pretty lights please,SwitchLightOn,1
315,315,lit turned on,SwitchLightOn,1
316,316,pink inside one kitchen please,SetLightColor,5
317,317,please brightened lounge,IncreaseBrightness,2
318,318,please brighten up the dining room,SwitchLightOn,1
319,319,please in the lights,DecreaseBrightness,3
320,320,please give me lights,SwitchLightOn,1
321,321,please give me lights in the kitchen,SwitchLightOn,1
322,322,change lights to area,SetLightColor,5
323,323,please give me some light,SwitchLightOn,1
324,324,please give me some light in the kitchen,SwitchLightOn,1
325,325,please increase the brightness,IncreaseBrightness,2
326,326,please increase the light brightness everywhere,IncreaseBrightness,2
327,327,please increase the meeting room brightness,IncreaseBrightness,2
328,328,please color small like,DecreaseBrightness,3
329,329,please make the light blue,SetLightColor,5
330,330,please make the as you light red lamp,SetLightColor,5
331,331,increase one to it,SwitchLightOn,1
332,332,red me some light in the kitchen,SwitchLightOn,1
333,333,change blue lights to pink for me,SetLightColor,5
334,334,me some light,SwitchLightOn,1
335,335,play some light in the kitchen,SwitchLightOn,1
336,336,is area the let for lights to bring,SetLightColor,5
337,337,play switch lights off,SwitchLightOff,0
338,338,please switch off lounge flat,SwitchLightOff,0
339,339,please switch off the kitchen lights after you cook,SwitchLightOff,0
340,340,please switch the studio lights,SwitchLightOff,0
341,341,please the increase the brightness it's too dark,IncreaseBrightness,2
342,342,please turn down the light for me,DecreaseBrightness,3
343,343,please turn light on,SwitchLightOn,1
344,344,area the meeting room made postion pink,SetLightColor,5
345,345,please turn of laundry room light,SwitchLightOff,0
346,346,the turn lights everywhere,SwitchLightOff,0
347,347,please turn off parking lights,SwitchLightOff,0
348,348,less turn off the house lights,SwitchLightOff,0
349,349,please turn your light,SwitchLightOff,0
350,350,please turn off the lights of the nine room,SwitchLightOff,0
351,351,please turn on lights,SwitchLightOn,1
352,352,these turned on the lights of changing room,SwitchLightOn,1
353,353,these turn the pantry lights to level thirty nine,SetLightBrightness,4
354,354,put on the serial bulbs in the dining room,SwitchLightOn,1
355,355,change office lighter to blue please,SetLightColor,5
356,356,two the lighting tad of soon bring,SetLightColor,5
357,357,put the lights on the able,SwitchLightOn,1
358,358,reduce brightness of lightbulb,DecreaseBrightness,3
359,359,so at green light,SetLightColor,5
360,360,rid brightness off your flat to fifty,SetLightBrightness,4
361,361,set brightness off Boost to fifty,SetLightBrightness,4
362,362,set brightness to toilet,SetLightBrightness,4
363,363,set light level twenty two,SetLightBrightness,4
364,364,set the bedroom lights to thirty nine,SetLightBrightness,4
365,365,set the color of meeting room lights to blue,SetLightColor,5
366,366,set the lights to stand in the vestibule,SetLightBrightness,4
367,367,can you please turn down the lights,DecreaseBrightness,3
368,368,set the lights to the down position,SwitchLightOn,1
369,369,set the lights to twenty two in the office,SetLightBrightness,4
370,370,set the lights to twenty two percent percent,SetLightBrightness,4
371,371,set lights to zero brightness,SwitchLightOff,0
372,372,set the lights to zero brightness in the office,SwitchLightOff,0
373,373,red the living room light to twenty,SetLightBrightness,4
374,374,Lessen the shut flat to light,SetLightBrightness,4
375,375,set the vestibule lights to level thirty nine,SetLightBrightness,4
376,376,shine some light in here,SwitchLightOn,1
377,377,Find some light in here,SwitchLightOn,1
378,378,can you put light on in the backyard,SwitchLightOn,1
379,379,shine some lights in the office,SwitchLightOn,1
380,380,Shine the lights at level twelve,SetLightBrightness,4
381,381,shed down the its room light,SwitchLightOff,0
382,382,shut down the lights,SwitchLightOff,0
383,383,shut off the lights at the entrance,SwitchLightOff,0
384,384,shut off the lights in the garage,SwitchLightOff,0
385,385,shut off the lights in the blue,SwitchLightOff,0
386,386,shed off the light please,SwitchLightOff,0
387,387,shut off the lounge lights,SwitchLightOff,0
388,388,shut the lights down in the bathroom,SwitchLightOff,0
389,389,can you put the lights two in the cubicle,SetLightBrightness,4
390,390,shut the lights down in the entrance,SwitchLightOff,0
391,391,shut the lights off,SwitchLightOff,0
392,392,"Sir, in the office please set connected light bulbs to brightness of ten",SetLightBrightness,4
393,393,"Sir, please let the brightness of the connected lights to cold to fifty",SetLightBrightness,4
394,394,situated lights to thirty nine percent percent in the cubicle,SetLightBrightness,4
395,395,stop lighting the cubicle,SwitchLightOff,0
396,396,stop the lights,SwitchLightOff,0
397,397,stop the lights from shining in the bathroom,SwitchLightOff,0
398,398,entire the lights from shining in the shed,SwitchLightOff,0
399,399,change the backyard flat to green,SetLightColor,5
400,400,select intensity of the tubelight to turn percent,SetLightBrightness,4
401,401,set the lights in the changing room to level twenty two,SetLightBrightness,4
402,402,set light living room lights to ten percent percent,SetLightBrightness,4
403,403,rid the pantry darkness to don't the,SetLightBrightness,4
404,404,seventy-three tree is what brightness should be,SetLightBrightness,4
405,405,shut off the kitchen light,SwitchLightOff,0
406,406,so much darkness in here turn up the bulbs,IncreaseBrightness,2
407,407,some light,SwitchLightOn,1
408,408,some light in the kitchen,SwitchLightOn,1
409,409,some lights in the kitchen,SwitchLightOn,1
410,410,change the basement brightness to seventy-three tree,SetLightBrightness,4
411,411,studio lights off,SwitchLightOff,0
412,412,studio lights on please,SwitchLightOn,1
413,413,switch bathroom lit off,SwitchLightOff,0
414,414,switch house lights off,SwitchLightOff,0
415,415,lights of,SwitchLightOff,0
416,416,switch lights on,SwitchLightOn,1
417,417,switch lights on vestibule,SwitchLightOn,1
418,418,tree off laundry room light are,SwitchLightOff,0
419,419,switch the bathroom flat,SwitchLightOff,0
420,420,its off the lamps please,SwitchLightOff,0
421,421,change the basement brightness to two,SetLightBrightness,4
422,422,switch off the light in the toilet,SwitchLightOff,0
423,423,switch off the lights,SwitchLightOff,0
424,424,child's are be to like all,SwitchLightOff,0
425,425,switch the garage light to pink,SetLightColor,5
426,426,switched the lamps off,SwitchLightOff,0
427,427,switch the like blue,SetLightColor,5
428,428,take all lights off as soon as possible,SwitchLightOff,0
429,429,the backyard yard is too bright and you turned it down little,DecreaseBrightness,3
430,430,the backyard room lights need change to blue,SetLightColor,5
431,431,the sun five near to colored,SetLightColor,5
432,432,adjust the select lights to twenty two,SetLightBrightness,4
433,433,change the bedroom lights the blue,SetLightColor,5
434,434,the room is done take over the light,SwitchLightOff,0
435,435,the cellar is cold and dark please turn up the brightness,IncreaseBrightness,2
436,436,the house is getting too little light turn up the brightness please,IncreaseBrightness,2
437,437,the kitchen should not be so bright,DecreaseBrightness,3
438,438,the large in room needs to be turned off,SwitchLightOff,0
439,439,the light is too bright so turn it down the light is too bright so turn it down,DecreaseBrightness,3
440,440,like need to be blue in the studio,SetLightColor,5
441,441,the lit has too much lights,DecreaseBrightness,3
442,442,the blue is little dark turn up the brightness little,IncreaseBrightness,2
443,443,the office has too much light it needs to be turned down,DecreaseBrightness,3
444,444,changed the brightness of the lights to twenty two percent,SetLightBrightness,4
445,445,the office is little too dark these turn on the lights,IncreaseBrightness,2
446,446,the parking area need the lights of,SwitchLightOff,0
447,447,the shed needs more light,IncreaseBrightness,2
448,448,the sun is going down in its getting dark turn the lights up,IncreaseBrightness,2
449,449,the toilets are too bright turn the lights down,DecreaseBrightness,3
450,450,there is no one in the living room take the lit,SwitchLightOff,0
451,451,this entire appartment is in darkness you need to turn the light brightness up,IncreaseBrightness,2
452,452,this room is pretty dark just turned down the brightness,IncreaseBrightness,2
453,453,lighting light change to level thirty nine,SetLightBrightness,4
454,454,kitchen tad cubicle,SetLightColor,5
455,455,changed the brightness to fifty in the entire appartment,SetLightBrightness,4
456,456,turn all light bulbs into pink color,SetLightColor,5
457,457,turned that from lights,IncreaseBrightness,2
458,458,turn bedroom red,SetLightColor,5
459,459,laundry them the lighting in the pantry,DecreaseBrightness,3
460,460,turn down minutes everywhere,DecreaseBrightness,3
461,461,turned down the brightness level of lightbulb,DecreaseBrightness,3
462,462,turned down the lamps bit,DecreaseBrightness,3
463,463,trip them the light tad bit please,DecreaseBrightness,3
464,464,stand down the flat in the entrance room,DecreaseBrightness,3
465,465,don't blue,SetLightColor,5
466,466,in the brightness can and close the,SetLightBrightness,4
467,467,turn flat rid,SetLightColor,5
468,468,are flat up in house,IncreaseBrightness,2
469,469,stand off all bedroom lamps please,SwitchLightOff,0
470,470,turn off bedroom lit,SwitchLightOff,0
471,471,done of dining room light,SwitchLightOff,0
472,472,turn off lights and lit,SwitchLightOff,0
473,473,down after lamps,SwitchLightOff,0
474,474,turn off the lights,SwitchLightOff,0
475,475,turn off the lights in the bedroom,SwitchLightOff,0
476,476,don't off do it flat,SwitchLightOff,0
477,477,changed the brightness to twenty,SetLightBrightness,4
478,478,turned off the light to turn,SetLightBrightness,4
479,479,turn on kitchen lights,SwitchLightOn,1
480,480,turn on the waiting room lights,SwitchLightOn,1
481,481,turn on the garden light,SwitchLightOn,1
482,482,brighter office,SwitchLightOn,1
483,483,the afternoon. the lights of there,SwitchLightOn,1
484,484,turn on the lights in the children room,SwitchLightOn,1
485,485,turn on the lights urgently,SwitchLightOn,1
486,486,don't too your light up,SwitchLightOn,1
487,487,Throughout the basement lights blue,SetLightColor,5
488,488,change the brightness to two,SetLightBrightness,4
489,489,bring to brighten us down,DecreaseBrightness,3
490,490,turn the garden lights to brightness too please,SetLightBrightness,4
491,491,turn the house light pink,SetLightColor,5
492,492,stand the tad down in the backyard,DecreaseBrightness,3
493,493,need the light down in the bedroom,DecreaseBrightness,3
494,494,turn the light down in the tad,DecreaseBrightness,3
495,495,turn the light down,DecreaseBrightness,3
496,496,can it off,SwitchLightOff,0
497,497,on the let trip,SetLightColor,5
498,498,turn the lights up,IncreaseBrightness,2
499,499,changed the bulbs to twelve set in brightness,SetLightBrightness,4
500,500,turned lights pink,SetLightColor,5
501,501,turn up light can basement,IncreaseBrightness,2
502,502,turn of light and let,IncreaseBrightness,2
503,503,turn up the brightness,IncreaseBrightness,2
504,504,turn up the brightness in the patio,IncreaseBrightness,2
505,505,can up the darkness in the studio,IncreaseBrightness,2
506,506,down at the flat in the ten,IncreaseBrightness,2
507,507,why is everywhere so dark the need to turn up the brightness,IncreaseBrightness,2
508,508,why is it so bright in here please turn it down notch,DecreaseBrightness,3
509,509,why is there are no lights in the waiting room turn it out please,IncreaseBrightness,2
510,510,changed the garage less to rid,SetLightColor,5
511,511,will you turn the brightness to level thirty nine,SetLightBrightness,4
512,512,change the color of the lights to blue in the dining room,SetLightColor,5
513,513,change the color of the lights to blue,SetLightColor,5
514,514,adjust the change of home. intensity of the lighting to two percent percent,SetLightBrightness,4
515,515,change the color of the flat to green,SetLightColor,5
516,516,is the color of the made to pink,SetLightColor,5
517,517,change the color to blue,SetLightColor,5
518,518,change the cellar to pink,SetLightColor,5
519,519,change the cubicle light sun to ten,SetLightBrightness,4
520,520,change the garage lights to Make,SetLightColor,5
521,521,change the kids bedroom light bulb cellar to green,SetLightColor,5
522,522,change the kitchen lights to green,SetLightColor,5
523,523,bring the can on serial into,SetLightColor,5
524,524,change the laundry room lights to green,SetLightColor,5
525,525,Lessen the glow of the bulb to level two,SetLightBrightness,4
526,526,in cellar red room red,SetLightColor,5
527,527,changed the light blue,SetLightColor,5
528,528,nine the light color to pink please,SetLightColor,5
529,529,change the light setting to on,SwitchLightOn,1
530,530,change the light to blue,SetLightColor,5
531,531,change the light to pink,SetLightColor,5
532,532,changed like to pink,SetLightColor,5
533,533,change the lighting of the pantry to thirty nine,SetLightBrightness,4
534,534,this the lighting to Dim,DecreaseBrightness,3
535,535,change lighting to fifty in the facilities,SetLightBrightness,4
536,536,Lessen the kids lighting to ten,SetLightBrightness,4
537,537,change the light's area,SetLightColor,5
538,538,change the lights in the child's bedroom to pink,SetLightColor,5
539,539,change the lights in the entrance to blue,SetLightColor,5
540,540,change the lights in the kids bedroom to blue,SetLightColor,5
541,541,changed the lights in the parking area to green,SetLightColor,5
