,transcript,user_action,user_action_num
176,create more than bedroom likes to read,SetLightColor,5
177,those delayed scene which view,SwitchLightOff,0
178,just brightness in seventy three,SetLightBrightness,4
179,genealogy nineteen [noise],SetLightBrightness,4
180,dark in the like in the toilet,DecreaseBrightness,3
181,degrees brightness in cell are,DecreaseBrightness,3
182,decrease brightness in the basement,DecreaseBrightness,3
183,guys are bathroom like,DecreaseBrightness,3
184,increase brightness please,DecreaseBrightness,3
185,decrease lights and laundry room all the way uh,SwitchLightOff,0
186,decrease the late in the small meeting or,DecreaseBrightness,3
187,in the basement,DecreaseBrightness,3
188,the bedroom nights,DecreaseBrightness,3
189,even the border,DecreaseBrightness,3
190,seeing all the lights two fifty,SetLightBrightness,4
191,being the kids bedroom lights,DecreaseBrightness,3
192,in the lights in the cubicle,DecreaseBrightness,3
193,dim the lights in the garden,DecreaseBrightness,3
194,dining room like at thirty nine,SetLightBrightness,4
195,dining room like twenty two percent,SetLightBrightness,4
196,dining room like all these,SwitchLightOff,0
197,dining room needs to be at twelve percent,SetLightBrightness,4
198,not waste fights decrease it please,DecreaseBrightness,3
199,double tightness,IncreaseBrightness,2
200,insurance light level to ten,SetLightBrightness,4
201,[noise] change back liking dripping,SetLightColor,5
202,<unk> tubing police,SetLightColor,5
203,entering should be let intensity to,SetLightBrightness,4
204,garage like to rent,SetLightColor,5
205,but er,SwitchLightOff,0
206,get your life on no me,SwitchLightOn,1
207,do you really,SwitchLightOn,1
208,green is what i would like to the lights to be right now,SetLightColor,5
209,brings life into needing gloves,SetLightColor,5
210,you mean like on in living room,SetLightColor,5
211,below right,DecreaseBrightness,3
212,seems trials bedroom house red light,SetLightColor,5
213,don't don't delayed,DecreaseBrightness,3
214,made me and don't like in <unk>,DecreaseBrightness,3
215,hey brian in the bedroom,IncreaseBrightness,2
216,stay this turner brightness now,IncreaseBrightness,2
217,need like,SwitchLightOn,1
218,he lives on and the kids were,SwitchLightOn,1
219,major your nothing media room,SwitchLightOn,1
220,i let me being,SetLightColor,5
221,done the lights,SwitchLightOn,1
222,i won't the <unk>,DecreaseBrightness,3
223,huge be,SetLightColor,5
224,i liked the best you will get some lightning,SwitchLightOn,1
225,aluminium seller,SwitchLightOn,1
226,eliminate the kids around,SwitchLightOn,1
227,in my kids bedroom change the frightening [laughter],SetLightBrightness,4
228,my kids room turn the lights off,SwitchLightOff,0
229,[noise] in the back yard the lights me think,SetLightColor,5
230,make nest in law,IncreaseBrightness,2
231,increase brightness in the studio,IncreaseBrightness,2
232,grease brightness right,IncreaseBrightness,2
233,sliding in the garage,IncreaseBrightness,2
234,change kids run like to be,SetLightColor,5
235,increases brightness,IncreaseBrightness,2
236,increase the maintenance you yes,IncreaseBrightness,2
237,any debate mess in the basement,IncreaseBrightness,2
238,increase the brightness interventions,IncreaseBrightness,2
239,increase the brightness up the garage,IncreaseBrightness,2
240,<unk> lights,IncreaseBrightness,2
241,increase the brightness on the patio,IncreaseBrightness,2
242,finally and don't like,DecreaseBrightness,3
243,most people don't don't the light in the living room,DecreaseBrightness,3
244,it's dark in here,SwitchLightOn,1
245,change the laundry room like five years,SetLightBrightness,4
246,it's getting so dark in here can you put like just,IncreaseBrightness,2
247,spring breaking here is a possibility you can turn like stem,DecreaseBrightness,3
248,pretty dark here why don't he turned the lights up,IncreaseBrightness,2
249,so dark in here these turn out the lights just a little,IncreaseBrightness,2
250,we to brighton here on the brightness please,DecreaseBrightness,3
251,bedroom lives do that peace,SetLightColor,5
252,lights on our,SwitchLightOn,1
253,kitchen no more like,SwitchLightOff,0
254,landed <unk> five,SetLightBrightness,4
255,laundry do lights on,SwitchLightOn,1
256,change like color to be,SetLightColor,5
257,laundry room lights to to,SetLightBrightness,4
258,there'd be like,SwitchLightOn,1
259,but nothing,SetLightBrightness,4
260,on the bathroom,SwitchLightOn,1
261,why up garage,SwitchLightOn,1
262,losing off into new,IncreaseBrightness,2
263,lights are off,SwitchLightOff,0
264,[noise] like seventy three in the bedroom please,SetLightBrightness,4
265,life need brighton in the lounge,IncreaseBrightness,2
266,lights are changing rooms,SwitchLightOff,0
267,like color do being,SetLightColor,5
268,talk for entire house,SwitchLightOff,0
269,nice stuff from the garden,SwitchLightOff,0
270,lifestyle from philly,SwitchLightOff,0
271,it's on,SwitchLightOn,1
272,john please my please,SwitchLightOn,1
273,it shouldn't be a level twenty two,SetLightBrightness,4
274,it's way down in small meeting room,SwitchLightOff,0
275,[noise] living room like er,SwitchLightOff,0
276,[noise] living room my son for no please,SwitchLightOn,1
277,change the light levels went in the bedroom,SetLightBrightness,4
278,lounge lights on you,SwitchLightOn,1
279,dudes bedroom lights,DecreaseBrightness,3
280,lower lights brightness,DecreaseBrightness,3
281,no <unk>,DecreaseBrightness,3
282,no wonder vastness of life been,DecreaseBrightness,3
283,little lightning children's flavor,DecreaseBrightness,3
284,need to gainesville like a color,SetLightColor,5
285,<unk> pink color,SetLightColor,5
286,making darker in here,DecreaseBrightness,3
287,making her in the waiting room,DecreaseBrightness,3
288,and the vitamins drinking too,SetLightBrightness,4
289,translate encouraged level five,SetLightBrightness,4
290,make it less bright in the bedroom,DecreaseBrightness,3
291,make it later in here,IncreaseBrightness,2
292,me alone i think,SetLightColor,5
293,make late,SetLightColor,5
294,me than i do,SetLightColor,5
295,make their like <unk>,SetLightColor,5
296,make the life,SetLightColor,5
297,me too like read,SetLightColor,5
298,make the lights go out,SwitchLightOff,0
299,need the life threatening office,SetLightColor,5
300,change like the blue,SetLightColor,5
301,[noise] make the right to level thirty two,SetLightBrightness,4
302,make their living room lighter,IncreaseBrightness,2
303,make the studio lights data,IncreaseBrightness,2
304,modified myself off living room like they do seventy three,SetLightBrightness,4
305,modify the color oh all right well,SetLightColor,5
306,need right,SwitchLightOn,1
307,mean like in the kitchen,SwitchLightOn,1
308,no more light in here,SwitchLightOff,0
309,pantry light level should be two percent,SetLightBrightness,4
310,do you live off,SwitchLightOff,0
311,changing like to think,SetLightColor,5
312,country make it dark,SwitchLightOff,0
313,parking lights on please,SwitchLightOn,1
314,how do you like please,SwitchLightOn,1
315,audio like turned on,SwitchLightOn,1
316,being life near kentucky,SetLightColor,5
317,brightens alone,IncreaseBrightness,2
318,please brighten up the dining room,SwitchLightOn,1
319,we used in the light,DecreaseBrightness,3
320,please give me the lights,SwitchLightOn,1
321,please give me lights in the kitchen,SwitchLightOn,1
322,change lights to read,SetLightColor,5
323,please give me some right,SwitchLightOn,1
324,like in the kitchen,SwitchLightOn,1
325,clean increase the brightness,IncreaseBrightness,2
326,increase the librarians everywhere,IncreaseBrightness,2
327,increase the meeting room brightness,IncreaseBrightness,2
328,no basement lakes,DecreaseBrightness,3
329,make their life,SetLightColor,5
330,me actually like right [laughter],SetLightColor,5
331,from like,SwitchLightOn,1
332,some writing attention,SwitchLightOn,1
333,change like to pink for me,SetLightColor,5
334,some like,SwitchLightOn,1
335,drink some lightning,SwitchLightOn,1
336,<unk> studied,SetLightColor,5
337,switch lights all,SwitchLightOff,0
338,<unk> lounge light,SwitchLightOff,0
339,which often kitchen myself do you cook,SwitchLightOff,0
340,please switch off the studio lights,SwitchLightOff,0
341,pleased to increase the brightness in too dark,IncreaseBrightness,2
342,least turn down the line for me,DecreaseBrightness,3
343,who's turned my dog,SwitchLightOn,1
344,<unk> pink,SetLightColor,5
345,nice during a <unk>,SwitchLightOff,0
346,who's turnoff lanes everywhere,SwitchLightOff,0
347,please turn off parking light,SwitchLightOff,0
348,turn around the house like,SwitchLightOff,0
349,turn off the lights,SwitchLightOff,0
350,please turn off the lights in the room,SwitchLightOff,0
351,turn on the lights,SwitchLightOn,1
352,you turn on the lights up changing rooms,SwitchLightOn,1
353,turn the pantry like eleven thirty nine,SetLightBrightness,4
354,done this year bones in the dining room,SwitchLightOn,1
355,change office like repeat these,SetLightColor,5
356,were delayed now in front of the,SetLightColor,5
357,the lights on the vegetable,SwitchLightOn,1
358,[noise] maybe own life but,DecreaseBrightness,3
359,green light,SetLightColor,5
360,shut off all like two fifty,SetLightBrightness,4
361,said they saw host two fifty,SetLightBrightness,4
362,have to fight,SetLightBrightness,4
363,like twenty two,SetLightBrightness,4
364,bedroom my thirty nine,SetLightBrightness,4
365,the color a meeting room mates blue,SetLightColor,5
366,<unk> that's the deal,SetLightBrightness,4
367,can you please turn down the lights,DecreaseBrightness,3
368,set life to be on the show,SwitchLightOn,1
369,satellites to twenty two in the office,SetLightBrightness,4
370,satellites to twenty two percent,SetLightBrightness,4
371,life her greatness,SwitchLightOff,0
372,so like dizzy road brightness in the office,SwitchLightOff,0
373,the the leading like empty,SetLightBrightness,4
374,it'd be nice to find,SetLightBrightness,4
375,the basketball like i thirty nine,SetLightBrightness,4
376,signs some lightning here,SwitchLightOn,1
377,some lightning here,SwitchLightOn,1
378,can you put lights along in the backyard,SwitchLightOn,1
379,shines son lives in the office,SwitchLightOn,1
380,my life i've never tried to,SetLightBrightness,4
381,right,SwitchLightOff,0
382,shut down the lights,SwitchLightOff,0
383,shut off the lights and insurance,SwitchLightOff,0
384,shut off the lights in the garage,SwitchLightOff,0
385,turtles the lights to know who,SwitchLightOff,0
386,shut down the line,SwitchLightOff,0
387,shut off the lounge like,SwitchLightOff,0
388,live down in the bathroom,SwitchLightOff,0
389,you but the last twelve and the recall,SetLightBrightness,4
390,to live down in the entrance,SwitchLightOff,0
391,[noise] shut the lights on,SwitchLightOff,0
392,we're in the office that connected light bulbs too brightness of time,SetLightBrightness,4
393,certainly not the brightest something connected light people two fifty,SetLightBrightness,4
394,since you're into lives two thirty nine percent and the cubicle,SetLightBrightness,4
395,stop planning the cubicle,SwitchLightOff,0
396,like,SwitchLightOff,0
397,stop the whites from shining in the bathroom,SwitchLightOff,0
398,i some chinese in michigan,SwitchLightOff,0
399,change the backyard light green,SetLightColor,5
400,right,SetLightBrightness,4
401,like changing rooms or twenty two,SetLightBrightness,4
402,life to ten percent,SetLightBrightness,4
403,hey <unk> gonna be,SetLightBrightness,4
404,seventy three is right should be,SetLightBrightness,4
405,shut off the kitchen might,SwitchLightOff,0
406,so much darkness in here turn up the bowls,IncreaseBrightness,2
407,some white,SwitchLightOn,1
408,some late in the kitchen,SwitchLightOn,1
409,right in the kitchen,SwitchLightOn,1
410,teams debasement vitamins to seventy three,SetLightBrightness,4
411,studio lights off,SwitchLightOff,0
412,dirty allowance on please,SwitchLightOn,1
413,which bathroom i saw,SwitchLightOff,0
414,which house like uh,SwitchLightOff,0
415,like uh,SwitchLightOff,0
416,which lights on,SwitchLightOn,1
417,switch liaison invested bill,SwitchLightOn,1
418,[laughter] like,SwitchLightOff,0
419,she's just the bathrooms lights,SwitchLightOff,0
420,just the lamps please,SwitchLightOff,0
421,change the basement brightness too,SetLightBrightness,4
422,switch off the late in the toilet,SwitchLightOff,0
423,switch all the lights,SwitchLightOff,0
424,where did you like oh,SwitchLightOff,0
425,switch the garage like a,SetLightColor,5
426,switch the lamps or,SwitchLightOff,0
427,<unk>,SetLightColor,5
428,go lights off as soon as possible,SwitchLightOff,0
429,backyard is to break it down little,DecreaseBrightness,3
430,nobody doom need to change to do,SetLightColor,5
431,[noise] well they like need loaded,SetLightColor,5
432,i just saw like twenty two,SetLightBrightness,4
433,being debated,SetLightColor,5
434,<unk> he's getting a call tonight,SwitchLightOff,0
435,sellers cold indoor eastern up right now,IncreaseBrightness,2
436,the house is getting too liberal like turn up the brightness please,IncreaseBrightness,2
437,the kitchen should not be so bright,DecreaseBrightness,3
438,large many remains to be turned off,SwitchLightOff,0
439,why is too bright so turn it down the line is too bright so turn it down,DecreaseBrightness,3
440,likely to be blue in the studio,SetLightColor,5
441,who has too much flights,DecreaseBrightness,3
442,the little little dark turnout brightness hello,IncreaseBrightness,2
443,the office has too much it needs to be turned down,DecreaseBrightness,3
444,i miss the lights drinking do but,SetLightBrightness,4
445,offices the little too dark news turn on the lights,IncreaseBrightness,2
446,the parking area need the lights off,SwitchLightOff,0
447,suddenly it's more like,IncreaseBrightness,2
448,son is going down and it's getting dark turn the lights up,IncreaseBrightness,2
449,toilets or too bright turn the lights down,DecreaseBrightness,3
450,there is no one in the living room to collect dolls,SwitchLightOff,0
451,this entire apartment isn't darkness you need to turn the light brightness so,IncreaseBrightness,2
452,room is pretty darn just turned down there right now,IncreaseBrightness,2
453,toilet like change to level thirty nine,SetLightBrightness,4
454,nineteen ninety two being gonna,SetLightColor,5
455,change some brightness in the entire apartment,SetLightBrightness,4
456,turn all laid off into color,SetLightColor,5
457,term bathroom lights up,IncreaseBrightness,2
458,don't do it,SetLightColor,5
459,and then lighting in the pantry,DecreaseBrightness,3
460,turned down my everywhere,DecreaseBrightness,3
461,doing down i miss living life but,DecreaseBrightness,3
462,turned down the lamps with it,DecreaseBrightness,3
463,no i just had big please,DecreaseBrightness,3
464,and don't relate to that and so,DecreaseBrightness,3
465,i don't either,SetLightColor,5
466,he needs to be nine one one,SetLightBrightness,4
467,the lights,SetLightColor,5
468,<unk> in house,IncreaseBrightness,2
469,and i've always been <unk>,SwitchLightOff,0
470,turn our bedroom right,SwitchLightOff,0
471,i dunno ninety nine,SwitchLightOff,0
472,right,SwitchLightOff,0
473,and off the lamps,SwitchLightOff,0
474,turn off the light,SwitchLightOff,0
475,all the lights in the bedroom,SwitchLightOff,0
476,dunno garnered nights,SwitchLightOff,0
477,change the vitamins trendy,SetLightBrightness,4
478,also,SetLightBrightness,4
479,fernando on kitchen light,SwitchLightOn,1
480,tournaments hanging for months,SwitchLightOn,1
481,turner in the garden lights,SwitchLightOn,1
482,mhm,SwitchLightOn,1
483,mhm,SwitchLightOn,1
484,<unk> children,SwitchLightOn,1
485,the lights originally,SwitchLightOn,1
486,i don't do the allies,SwitchLightOn,1
487,mhm,SetLightColor,5
488,change the brightness to to,SetLightBrightness,4
489,trying to break the stem,DecreaseBrightness,3
490,from the garden like brightness do these,SetLightBrightness,4
491,ten the house like pink,SetLightColor,5
492,and lay down in the back yard,DecreaseBrightness,3
493,the don't in the bedroom,DecreaseBrightness,3
494,turn the lights down into deal,DecreaseBrightness,3
495,turn the lights down,DecreaseBrightness,3
496,who actually,SwitchLightOff,0
497,well the lab's name,SetLightColor,5
498,turn the lights light,IncreaseBrightness,2
499,change the bulbs to talk for that right now,SetLightBrightness,4
500,to like think,SetLightColor,5
501,turn up late in basement,IncreaseBrightness,2
502,blatant flat,IncreaseBrightness,2
503,turn up the brightness,IncreaseBrightness,2
504,turn up the brightness in the patio,IncreaseBrightness,2
505,and i'm <unk> in the studio,IncreaseBrightness,2
506,down delayed in the kitchen,IncreaseBrightness,2
507,why is everywhere so or need to turn off the brightness,IncreaseBrightness,2
508,why is it so bright here please turn it down a notch,DecreaseBrightness,3
509,there are no lights in the waiting room turning up please,IncreaseBrightness,2
510,<unk>,SetLightColor,5
511,turner brightness level thirty nine,SetLightBrightness,4
512,change the color of the life to blue and the dining out,SetLightColor,5
513,change the color blue,SetLightColor,5
514,just change your intensity of the lighting two percent,SetLightBrightness,4
515,change the coronado that late to green,SetLightColor,5
516,<unk>,SetLightColor,5
517,change the color to blue,SetLightColor,5
518,change the colors big,SetLightColor,5
519,change a cubicle lights up to ten,SetLightBrightness,4
520,change the garage likes to pick,SetLightColor,5
521,change the kids bedroom lightbulb color to green,SetLightColor,5
522,change the kitchen lives to green,SetLightColor,5
523,stealing the laundry room governor don't need,SetLightColor,5
524,changed the law like degrading,SetLightColor,5
525,just the globe the ball to level too,SetLightBrightness,4
526,the longer the real nice today,SetLightColor,5
527,change that light blue,SetLightColor,5
528,change that kinda being please,SetLightColor,5
529,[noise] change the light betting on,SwitchLightOn,1
530,change the light to blue,SetLightColor,5
531,change the nice thing,SetLightColor,5
532,like to think,SetLightColor,5
533,change the lighting of the pantry two thirty nine,SetLightBrightness,4
534,the beam,DecreaseBrightness,3
535,letting do fifty the facilities,SetLightBrightness,4
536,just the kids lighting to ten,SetLightBrightness,4
537,like green,SetLightColor,5
538,change the lights in the child's bedroom to think,SetLightColor,5
539,change the lights and the insurance to blue,SetLightColor,5
540,change the lights in the kids bedroom to blue,SetLightColor,5
541,changed their lives in the parking area green,SetLightColor,5
542,lights in the court room,SwitchLightOff,0
543,and then a dynamic green,SetLightColor,5
544,the into blue,SetLightColor,5
545,change the light's green please,SetLightColor,5
546,change the race tipping cleaves,SetLightColor,5
547,active garden light,SwitchLightOn,1
548,just the laundry room lighting level thirty nine,SetLightBrightness,4
549,i mean,SetLightColor,5
550,change the lights to read,SetLightColor,5
551,relate to read in the parking section,SetLightColor,5
552,change the living room like twenty,SetLightBrightness,4
553,change the office like to make,SetLightColor,5
554,you know it's like [laughter],SetLightBrightness,4
555,change the parking room to green,SetLightColor,5
556,change the vegetable whiting through two percent,SetLightBrightness,4
557,change the yard like do green,SetLightColor,5
558,portland like color to read,SetLightColor,5
559,just the lighting the level too,SetLightBrightness,4
560,click on the lake,SwitchLightOn,1
561,color change like to read,SetLightColor,5
562,late spring,SetLightColor,5
563,colored lights read,SetLightColor,5
564,<unk> the kids to read,SetLightColor,5
565,oh in the long run,SetLightColor,5
566,change the brightness of the lights on the patio to seventy three,SetLightBrightness,4
567,could you change to like to read,SetLightColor,5
568,and you increase the brightest of the light,IncreaseBrightness,2
569,<unk> in the dining room,IncreaseBrightness,2
570,just the light so it's less bright,DecreaseBrightness,3
571,can you make too much in the basement brighter,IncreaseBrightness,2
572,degrees turn my lights on,SwitchLightOn,1
573,when you be going on i'm,SwitchLightOn,1
574,you switch on tonight,SwitchLightOn,1
575,could you doing tonight,DecreaseBrightness,3
576,you turn the lights on please,SwitchLightOn,1
577,i didn't,SwitchLightOff,0
578,the waiting room mates,SwitchLightOff,0
579,dark in the waiting room,SwitchLightOff,0
580,right,DecreaseBrightness,3
581,just like the almost any,SwitchLightOff,0
582,decreased brightness in room,DecreaseBrightness,3
583,decrease brightness in boardroom by one third,DecreaseBrightness,3
584,decrease brightness please,DecreaseBrightness,3
585,decreased light brightness in get,DecreaseBrightness,3
586,decreased like brightness please,DecreaseBrightness,3
587,greek flights in hills,DecreaseBrightness,3
588,decrease the brightness,DecreaseBrightness,3
589,decrease the prime minister bulbs,DecreaseBrightness,3
590,stubbornness and shed,DecreaseBrightness,3
591,just the living room brightness level too,SetLightBrightness,4
592,<unk>,DecreaseBrightness,3
593,decrease the intensity of the like,DecreaseBrightness,3
594,increase the intensity of the lights in the bedroom,DecreaseBrightness,3
595,decrease intensity of pantry lighting,DecreaseBrightness,3
596,decrease the light brightness in the cubicle,DecreaseBrightness,3
597,decrease the late intensity,DecreaseBrightness,3
598,decrease the light intensity and the entrance,DecreaseBrightness,3
599,decrease see like city in the entrance to zero,SwitchLightOff,0
600,decrease the late intensity in the office,DecreaseBrightness,3
601,decrease the light and see in the vestibule to zero,SwitchLightOff,0
602,i just like to blue,SetLightColor,5
603,decrease sunlight intensity to zero,SwitchLightOff,0
604,increase delighting in the laundry room,DecreaseBrightness,3
605,decrease the lighting so it's not so bright,DecreaseBrightness,3
606,decrease the lights intensity in my bedroom balcony,DecreaseBrightness,3
607,damn lights please,DecreaseBrightness,3
608,the major please,DecreaseBrightness,3
609,being,DecreaseBrightness,3
610,the in the bedroom,DecreaseBrightness,3
611,the lighting completely in the waiting room,SwitchLightOff,0
612,getting the lights,DecreaseBrightness,3
613,[noise] i actually liking eleven twenty nine,SetLightBrightness,4
614,can the lights completely in the living room,SwitchLightOff,0
615,then the lights for me,DecreaseBrightness,3
616,dim the lights in the backyard,DecreaseBrightness,3
617,then the lights in the bathroom,DecreaseBrightness,3
618,and the line in the garage,DecreaseBrightness,3
619,getting the lights in the living room,DecreaseBrightness,3
620,then the lights place,DecreaseBrightness,3
621,right,DecreaseBrightness,3
