WAV_FILE,WER,GroundTruth_Sentence,ASR_Sentence,Intent
1275.wav,0.7777777777777778,Turn the lights in the large meeting room pink.,charmed life in the machine and p.,SetLightColor
1276.wav,0.2222222222222222,Turn the lights in the waiting room to five.,and the lights in the waiting room full five,SetLightBrightness
1277.wav,0.0,Turn the lights in the waiting room to thirty nine,turn the lights in the waiting room to thirty nine,SetLightBrightness
1278.wav,0.0,Turn the lights off,turn the lights off,SwitchLightOff
1279.wav,0.0,Turn the lights off in the basement,turn the lights off in the basement,SwitchLightOff
128.wav,0.5,Can you turn off the lights in the parking room?,yeah you like in the parking room,SwitchLightOff
1280.wav,0.125,Turn the lights off in the dining room,turn the lights up in the dining room,SwitchLightOff
1281.wav,0.0,Turn the lights off in the dining room.,turn the lights off in the dining room,SwitchLightOff
1282.wav,0.125,Turn the lights off in the laundry room,the lights off in the laundry room,SwitchLightOff
1283.wav,0.0,Turn the lights off in the office,turn the lights off in the office,SwitchLightOff
1284.wav,0.8571428571428571,Turn the lights off in the shed.,doesn't shed,SwitchLightOff
1285.wav,0.42857142857142855,Turn the lights off in the toilet,from the laptop in the toilet,SwitchLightOff
1286.wav,0.8,Turn the lights off now,been laid off no,SwitchLightOff
1287.wav,0.0,Turn the lights off.,turn the lights off,SwitchLightOff
1288.wav,0.25,Turn the lights on,the lights on,SwitchLightOn
1289.wav,0.2857142857142857,Turn the lights on above the toilets,the lights on about the toilets,SwitchLightOn
129.wav,0.42857142857142855,Can you turn off the lights please,can you turn on life please,SwitchLightOff
1290.wav,0.2,Turn the lights on everywhere,the lights on everywhere,SwitchLightOn
1291.wav,0.7142857142857143,Turn the lights on in the appartment.,no lights on department,SwitchLightOn
1292.wav,0.0,Turn the lights on in the bedroom,turn the lights on in the bedroom,SwitchLightOn
1293.wav,0.75,Turn the lights on in the changing room,<unk> changing room,SwitchLightOn
1294.wav,0.14285714285714285,Turn the lights on in the kitchen,then the lights on in the kitchen,SwitchLightOn
1295.wav,0.25,Turn the lights on in the meeting room,no lights on in the meeting room,SwitchLightOn
1296.wav,0.42857142857142855,Turn the lights on in the pantry,turn the lights on independently,SwitchLightOn
1297.wav,0.1111111111111111,Turn the lights on in the small meeting room,turn the lights on the small meeting room,SwitchLightOn
1298.wav,0.0,Turn the lights on in the studio,turn the lights on in the studio,SwitchLightOn
1299.wav,0.4,Turn the lights on now,doing the on now,SwitchLightOn
13.wav,1.0,Adjust the brightness to level ten,i just diagnosed his game,SetLightBrightness
130.wav,0.16666666666666666,Can you turn off the lights?,can you turn off the light,SwitchLightOff
1300.wav,0.2,Turn the lights on pink,turn the lights on,SetLightColor
1301.wav,0.0,Turn the lights on please,turn the lights on please,SwitchLightOn
1302.wav,0.3333333333333333,Turn the lights on the kitchen,the on the kitchen,SwitchLightOn
1303.wav,1.0,Turn the lights on.,[noise],SwitchLightOn
1304.wav,0.0,Turn the lights pink please.,turn the lights pink please,SetLightColor
1305.wav,0.5,Turn the lights red in the bed room.,turn the light right in the bedroom,SetLightColor
1306.wav,0.2,Turn the lights to a darker setting in the office,turn the lights dry darker setting in the office,DecreaseBrightness
1307.wav,0.2857142857142857,Turn the lights to a higher setting,turn the lights to hire setting,IncreaseBrightness
1308.wav,0.14285714285714285,Turn the lights to a lower setting,turn the lights to lower setting,DecreaseBrightness
1309.wav,1.0,Turn the lights to two in the house,<unk>,SetLightBrightness
131.wav,0.5,Can you turn on bathroom light,turned on bathroom light,SwitchLightOn
1311.wav,0.4444444444444444,Turn the lights up a notch in the cellar.,done the lights up a notch the same not,IncreaseBrightness
1312.wav,0.2857142857142857,"Turn the lights up a notch, please.",turn the lights up a notch you,IncreaseBrightness
1313.wav,0.2857142857142857,Turn the lights up in the entrance,turn the lights of the entrance,IncreaseBrightness
1314.wav,1.0,Turn the lights up in the loo,trying to learn something new,IncreaseBrightness
1315.wav,0.0,Turn the lights up in the studio.,turn the lights up in the studio,IncreaseBrightness
1316.wav,0.14285714285714285,Turn the lights up in the toilets.,turn the lights up in the toilet,IncreaseBrightness
1317.wav,0.0,Turn the living room lights up,turn the living room lights up,IncreaseBrightness
1318.wav,0.2,Turn the lounge lights red,turn the lounge lights right,SetLightColor
1319.wav,0.6,Turn the patio light pink,the patio like,SetLightColor
132.wav,0.6666666666666666,Can you turn on the light,you don't on tonight,SwitchLightOn
1320.wav,0.4,Turn the studio lights on,turning studio lights on,SwitchLightOn
1321.wav,0.2857142857142857,Turn the studio lights to thirty nine,turn the studio like thirty nine,SetLightBrightness
1322.wav,0.3333333333333333,Turn the vestibule lights to two.,turning the vestibule lights to to,SetLightBrightness
1323.wav,0.2,Turn the vestibule lights up,turn the lights up,IncreaseBrightness
1324.wav,0.5714285714285714,Turn the waiting room brightness to two,waiting brightness to to,SetLightBrightness
1325.wav,1.0,Turn the waiting room lights to seventy-three,needs to seven fifty,SetLightBrightness
1326.wav,0.4,Turn toilet room lights on,turned toilet run lights on,SwitchLightOn
1327.wav,0.0,Turn up the brightness,turn up the brightness,IncreaseBrightness
1328.wav,0.375,Turn up the brightness in the changing room.,turn off the brightness in changing rooms,IncreaseBrightness
1329.wav,0.5,Turn up the lighting,tournaments the lighting,IncreaseBrightness
133.wav,0.5555555555555556,Can you turn the brightness down in the backyard,he turned to bring us down in the backyard,DecreaseBrightness
1331.wav,1.0,Turn up the lights,hello,IncreaseBrightness
1332.wav,0.2857142857142857,Turn up the lights in the cella,turn on the lights in the cellar,IncreaseBrightness
1333.wav,0.375,Turn up the lights in the kids room.,turn up the and kids room,IncreaseBrightness
1334.wav,0.14285714285714285,Turn up the lights in the kitchen,turn out the lights in the kitchen,IncreaseBrightness
1335.wav,0.14285714285714285,Turn up the lights in the pantry,turn on the lights in the pantry,IncreaseBrightness
1336.wav,0.14285714285714285,Turn up the lights in the parking,turn on the lights in the parking,IncreaseBrightness
1337.wav,0.14285714285714285,Turn up the lights in the patio,turn the lights in the patio,IncreaseBrightness
1338.wav,0.42857142857142855,Turn up the lights in the toilets.,dan i'm the lights in the toilet,IncreaseBrightness
1339.wav,0.75,Turn up the lights.,part of the legs,IncreaseBrightness
134.wav,0.14285714285714285,Can you turn the brightness to ten?,you turn the brightness to ten,SetLightBrightness
1340.wav,0.5,Turn up the lights.,turn off the light,IncreaseBrightness
1341.wav,0.5,Turn vestibule lighting on,turn vegetable landing on,SwitchLightOn
1342.wav,0.07692307692307693,"We have a large meeting room, I need some red lights in there.",we have a large meeting room i need some red lights in there,SetLightColor
1343.wav,0.7777777777777778,We need the bulbs turned brighter in this room,we need a bunch done to buy diesel,IncreaseBrightness
1344.wav,0.0,What do I need to do to get the dining room to fifty brightness?,what do i need to do to get the dining room to fifty brightness,SetLightBrightness
1345.wav,0.5,Will you increase the brightness please,well you increase the president's teas,IncreaseBrightness
1346.wav,0.2,Will you make the entrance lights red for the afternoon.,well you make the entrance lights read for the afternoon,SetLightColor
1347.wav,0.6666666666666666,Will you set the changing room to fifty brightness?,we use that they chose to fifty brightness,SetLightBrightness
1348.wav,0.5,Would you please turn down the light brightness,did you turn down the right now,DecreaseBrightness
1349.wav,0.1,Would you please turn on the lights in my cubicle,would you please turn on the lights and my cubicle,SwitchLightOn
135.wav,1.0,Can you turn the brightness up in the bedroom?,<unk> individual,IncreaseBrightness
1350.wav,0.625,Would you switch my kitchen lighting to on?,what do you switch my kitchen lead into um,SwitchLightOn
1351.wav,0.14285714285714285,Would you turn on my basement lights,would you turn on my basement light,SwitchLightOn
1352.wav,0.2857142857142857,Would you turn on my basement lights?,did you turn on my basement like,SwitchLightOn
1353.wav,0.36363636363636365,adjust brightness of lounge lights to a value of twenty two,just brightness of lounge late to of twenty two,SetLightBrightness
1354.wav,0.6666666666666666,all lights off,ah laid off,SwitchLightOff
1355.wav,1.0,all lights off please.,oh nice,SwitchLightOff
1356.wav,0.14285714285714285,basement lights should be set to twelve,basement life should be set to twelve,SetLightBrightness
1357.wav,0.6666666666666666,basement lights should be turned on,you smell like shouldn't be turned on,SwitchLightOn
1358.wav,1.0,bathroom brightness to twenty two,bottom brave enough to do,SetLightBrightness
1359.wav,0.8571428571428571,"bathroom is too dark, increase the brightness",them do to increase debate nice,IncreaseBrightness
136.wav,1.0,Can you turn the cellar light on,continue dumbo she'll lay down,SwitchLightOn
1360.wav,1.0,bathroom lights off,like uh,SwitchLightOff
1361.wav,0.5,bed room brightness to two please.,bedroom brightness to to please,SetLightBrightness
1362.wav,1.0,bedroom light down,like damn,DecreaseBrightness
1363.wav,0.5714285714285714,boardroom is dark please turn on lights,boardrooms dark turn on like,SwitchLightOn
1364.wav,0.75,brighten lights in kitchen,burlington kitchen,IncreaseBrightness
1365.wav,0.0,brighten up the cubicle,brighten up the cubicle,IncreaseBrightness
1366.wav,0.0,bring up the lights,bring up the lights,IncreaseBrightness
1367.wav,0.5,can you gimme some light please,can you give me some like please,SwitchLightOn
1368.wav,0.2222222222222222,can you gimme some light please in the kitchen,can you give me some light please in the kitchen,SwitchLightOn
1369.wav,0.16666666666666666,can you give me some lights,can you give me some nights,SwitchLightOn
137.wav,0.4444444444444444,Can you turn the cubicle lights to twenty two,you turn me cubicle like twenty two,SetLightBrightness
1370.wav,0.0,can you increase the brightness,can you increase the brightness,IncreaseBrightness
1371.wav,0.1111111111111111,can you increase the brightness in the laundry room,and you increase the brightness in the laundry room,IncreaseBrightness
1372.wav,0.2222222222222222,can you increase the brightness of the entire house,can you increase the brightness soak entire house,IncreaseBrightness
1373.wav,0.5454545454545454,can you make the bed room a little darker if possible,you miss the bedroom little darker possible,DecreaseBrightness
1374.wav,0.14285714285714285,can you make the light go blue,can you make the light blue,SetLightColor
1375.wav,0.0,can you please turn on the lights?,can you please turn on the lights,SwitchLightOn
1376.wav,0.375,can you turn down the lights in here?,turned down the lights in here,DecreaseBrightness
1377.wav,0.8571428571428571,can you turn off the cellar lights?,<unk> december lights,SwitchLightOff
1378.wav,0.42857142857142855,can you turn off the house lights,can you travel to house lights,SwitchLightOff
1379.wav,0.625,can you turn off the kids bedroom lights?,turning fifty kids bedroom lights,SwitchLightOff
138.wav,0.0,Can you turn the lights down one notch,can you turn the lights down one notch,DecreaseBrightness
1380.wav,0.6666666666666666,can you turn the lights down,daniel done the lights though,DecreaseBrightness
1381.wav,0.8333333333333334,change all lights to pink color,he likes to being kinda,SetLightColor
1382.wav,0.9,change and set backyard lights to brightness setting of twelve,gun sit back god like to bite and setting off,SetLightBrightness
1383.wav,0.8333333333333334,change bed room lighting to pink,<unk> to being,SetLightColor
1384.wav,0.9,change brightness of lights in the toilets to twenty percent,<unk> percent,SetLightBrightness
1385.wav,0.8571428571428571,change color of bathroom lights to pink,change the color about it might be,SetLightColor
1386.wav,1.0,change color of garage lights to pink,<unk> being,SetLightColor
1387.wav,0.75,change lamp to pink,<unk> do pink,SetLightColor
1388.wav,0.5,change lighting to pink,[noise] change lancing to pink,SetLightColor
1389.wav,0.25,change lights to blue,[noise] change lights to blue,SetLightColor
139.wav,0.16666666666666666,Can you turn the lights off.,you turn the lights off,SwitchLightOff
1390.wav,0.75,change lights to pink,change like the bank,SetLightColor
1391.wav,1.0,change the garage lights to pink,he began it needs being,SetLightColor
1392.wav,0.4,change the light to pink,change delight to pink,SetLightColor
1393.wav,0.8333333333333334,change the patio light to pink,teams that she likes to be,SetLightColor
1394.wav,0.8333333333333334,change the patio lights to green,about who likes to lean,SetLightColor
1395.wav,1.0,change to red,[noise] <unk>,SetLightColor
1396.wav,0.8,changing room lights off please,changing my is,SwitchLightOff
1397.wav,0.7142857142857143,close all lights in the kids room,lose a late in the courtroom,SwitchLightOff
1398.wav,0.7777777777777778,"create mood in bed room, turn lights to red",create more than bedroom likes to read,SetLightColor
1399.wav,1.0,cut off the lights in vestibule,those delayed scene which view,SwitchLightOff
14.wav,1.0,Adjust the brightness to seventy-three.,just brightness in seventy three,SetLightBrightness
140.wav,1.0,Change all of the garden lighting to twenty,genealogy nineteen [noise],SetLightBrightness
1400.wav,0.5,darken the light in the toilet,dark in the like in the toilet,DecreaseBrightness
1401.wav,0.75,decrease brightness in cellar,degrees brightness in cell are,DecreaseBrightness
1402.wav,0.0,decrease brightness in the basement,decrease brightness in the basement,DecreaseBrightness
1403.wav,0.8,decrease brightness of bathroom lights,guys are bathroom like,DecreaseBrightness
1404.wav,0.3333333333333333,decrease brightness please,increase brightness please,DecreaseBrightness
1405.wav,0.3,decrease lights in laundry room to all the way off,decrease lights and laundry room all the way uh,SwitchLightOff
1406.wav,0.25,decrease the light in the small meeting room,decrease the late in the small meeting or,DecreaseBrightness
1407.wav,0.3333333333333333,dim the basement,in the basement,DecreaseBrightness
1408.wav,0.8,dim the bed room lights,the bedroom nights,DecreaseBrightness
1409.wav,0.6666666666666666,dim the boardroom,even the border,DecreaseBrightness
141.wav,0.3333333333333333,Change all the lights to fifty.,seeing all the lights two fifty,SetLightBrightness
1410.wav,0.2,dim the kids bedroom lights,being the kids bedroom lights,DecreaseBrightness
1411.wav,0.16666666666666666,dim the lights in the cubicle,in the lights in the cubicle,DecreaseBrightness
1412.wav,0.0,dim the lights in the garden,dim the lights in the garden,DecreaseBrightness
1413.wav,0.16666666666666666,dining room light at thirty nine,dining room like at thirty nine,SetLightBrightness
1414.wav,0.2857142857142857,dining room lights at twenty two percent,dining room like twenty two percent,SetLightBrightness
1415.wav,0.6,dining room lights off please,dining room like all these,SwitchLightOff
1416.wav,0.0,dining room needs to be at twelve percent,dining room needs to be at twelve percent,SetLightBrightness
1417.wav,0.375,"do not waste the lights, decrease it please",not waste fights decrease it please,DecreaseBrightness
1418.wav,0.6666666666666666,double the brightness,double tightness,IncreaseBrightness
1419.wav,0.2,entrance light level to ten,insurance light level to ten,SetLightBrightness
142.wav,1.0,Change backyard lighting to pink please,[noise] change back liking dripping,SetLightColor
1420.wav,1.0,entrance lights to pink please,<unk> tubing police,SetLightColor
1421.wav,0.5714285714285714,entrance should be lit at intensity two,entering should be let intensity to,SetLightBrightness
1422.wav,0.6,garage lights to red please,garage like to rent,SetLightColor
1423.wav,1.0,get the bedroom dark,but er,SwitchLightOff
1424.wav,0.6666666666666666,get the lights on now please,get your life on no me,SwitchLightOn
1425.wav,1.0,gimme lights in the kitchen,do you really,SwitchLightOn
1426.wav,0.0,green is what I would like to the lights to be right now,green is what i would like to the lights to be right now,SetLightColor
1427.wav,1.0,green lights in the living room,brings life into needing gloves,SetLightColor
1428.wav,0.5,green lights on in living room,you mean like on in living room,SetLightColor
1429.wav,1.0,have it be less bright,below right,DecreaseBrightness
143.wav,0.7142857142857143,Change child's bedroom to have red lights.,seems trials bedroom house red light,SetLightColor
1430.wav,1.0,help me turn down the light,don't don't delayed,DecreaseBrightness
1431.wav,0.7777777777777778,help me turn down the light in the cellar,made me and don't like in <unk>,DecreaseBrightness
1432.wav,0.5,hey brighten the bedroom,hey brian in the bedroom,IncreaseBrightness
1433.wav,0.7777777777777778,"i cannot stand darkness, turn up the brightness now",stay this turner brightness now,IncreaseBrightness
1434.wav,0.6666666666666666,i need light,need like,SwitchLightOn
1435.wav,0.625,i need lights on in the kids room,he lives on and the kids were,SwitchLightOn
1436.wav,0.875,i need to brighten up the meeting room,major your nothing media room,SwitchLightOn
1437.wav,0.8888888888888888,i want the large meeting room to be blue,i let me being,SetLightColor
1438.wav,0.6666666666666666,i want to turn the lights,done the lights,SwitchLightOn
1439.wav,0.75,i want you to make the light dimmer,i won't the <unk>,DecreaseBrightness
144.wav,1.0,Change color to pink.,huge be,SetLightColor
1440.wav,0.75,i'd like the patio to get some lightening,i liked the best you will get some lightning,SwitchLightOn
1441.wav,1.0,illuminate cellar,aluminium seller,SwitchLightOn
1442.wav,0.5,illuminate the kids room,eliminate the kids around,SwitchLightOn
1443.wav,0.3333333333333333,in my kids bedroom change the brightness to fifty,in my kids bedroom change the frightening [laughter],SetLightBrightness
1444.wav,0.125,in my kids room turn the lights off.,my kids room turn the lights off,SwitchLightOff
1445.wav,0.7777777777777778,in the backyard the lights need to be pink,[noise] in the back yard the lights me think,SetLightColor
1446.wav,0.8,increase brightness in the lounge,make nest in law,IncreaseBrightness
1447.wav,0.0,increase brightness in the studio,increase brightness in the studio,IncreaseBrightness
1448.wav,0.75,increase brightness of lights .,grease brightness right,IncreaseBrightness
1449.wav,0.4,increase lighting in the garage,sliding in the garage,IncreaseBrightness
145.wav,0.5,Change kids room lights to pink,change kids run like to be,SetLightColor
1450.wav,0.6666666666666666,increase the brightness,increases brightness,IncreaseBrightness
1451.wav,0.6,increase the brightness in here,increase the maintenance you yes,IncreaseBrightness
1452.wav,0.5,increase the brightness in the basement.,any debate mess in the basement,IncreaseBrightness
1453.wav,0.4,increase the brightness of entrance,increase the brightness interventions,IncreaseBrightness
1454.wav,0.16666666666666666,increase the brightness of the garage,increase the brightness up the garage,IncreaseBrightness
1455.wav,0.8333333333333334,increase the brightness of the lights.,<unk> lights,IncreaseBrightness
1456.wav,0.0,increase the brightness on the patio.,increase the brightness on the patio,IncreaseBrightness
1457.wav,1.0,is it possible to turn down the light,finally and don't like,DecreaseBrightness
1458.wav,0.5,is it possible to turn down the light in the living room,most people don't don't the light in the living room,DecreaseBrightness
1459.wav,0.0,it's dark in here,it's dark in here,SwitchLightOn
146.wav,0.5714285714285714,Change laundry room lights to five please.,change the laundry room like five years,SetLightBrightness
1460.wav,0.4166666666666667,"its getting so dark in here, can you put the lights up",it's getting so dark in here can you put like just,IncreaseBrightness
1461.wav,0.6,"its pretty bright in here, is there a possibility you can turn the lights down",spring breaking here is a possibility you can turn like stem,DecreaseBrightness
1462.wav,0.4166666666666667,"its pretty dark here , why didnt you turn the lights up",pretty dark here why don't he turned the lights up,IncreaseBrightness
1463.wav,0.3076923076923077,"its so dark in here, please turn up the lights just a little",so dark in here these turn out the lights just a little,IncreaseBrightness
1464.wav,0.7272727272727273,"its way too bright in here, turn down the brightness please",we to brighton here on the brightness please,DecreaseBrightness
1465.wav,0.8333333333333334,kids bedroom lights to red please,bedroom lives do that peace,SetLightColor
1466.wav,0.5,kitchen lights on now,lights on our,SwitchLightOn
1467.wav,0.25,kitchen no more lights,kitchen no more like,SwitchLightOff
1468.wav,0.75,laundry room brightness five,landed <unk> five,SetLightBrightness
1469.wav,0.25,laundry room lights on,laundry do lights on,SwitchLightOn
147.wav,0.4,Change light color to pink,change like color to be,SetLightColor
1470.wav,0.2,laundry room lights to two,laundry room lights to to,SetLightBrightness
1471.wav,0.75,let there be light,there'd be like,SwitchLightOn
1472.wav,1.0,light bulb brightness ten percent,but nothing,SetLightBrightness
1473.wav,0.4,light on in the bathroom,on the bathroom,SwitchLightOn
1474.wav,0.3333333333333333,light up garage,why up garage,SwitchLightOn
1475.wav,1.0,lighting up in the loo,losing off into new,IncreaseBrightness
1476.wav,0.0,lights are off,lights are off,SwitchLightOff
1477.wav,0.5714285714285714,lights at seventy-three in the bedroom please.,[noise] like seventy three in the bedroom please,SetLightBrightness
1478.wav,0.3333333333333333,lights need brightened in the lounge,life need brighton in the lounge,IncreaseBrightness
1479.wav,0.5,lights off changing room,lights are changing rooms,SwitchLightOff
148.wav,0.8,Change light color to pink.,like color do being,SetLightColor
1480.wav,0.4,lights off for entire house,talk for entire house,SwitchLightOff
1481.wav,0.6,lights off in the garden,nice stuff from the garden,SwitchLightOff
1482.wav,1.0,lights off in the toilets.,lifestyle from philly,SwitchLightOff
1483.wav,0.5,lights on,it's on,SwitchLightOn
1484.wav,1.0,lights on please,john please my please,SwitchLightOn
1485.wav,0.5,lights should be set at level twenty two,it shouldn't be a level twenty two,SetLightBrightness
1486.wav,0.14285714285714285,lights way down in small meeting room,it's way down in small meeting room,SwitchLightOff
1488.wav,0.75,living room lights off,[noise] living room like er,SwitchLightOff
1489.wav,0.5714285714285714,living room lights on for now please,[noise] living room my son for no please,SwitchLightOn
149.wav,0.5,Change light level to twenty in the bedroom,change the light levels went in the bedroom,SetLightBrightness
1490.wav,0.25,lounge lights on please,lounge lights on you,SwitchLightOn
1491.wav,0.5,lower kids bedroom lights,dudes bedroom lights,DecreaseBrightness
1492.wav,0.0,lower lights brightness,lower lights brightness,DecreaseBrightness
1493.wav,1.0,lower the brightness,no <unk>,DecreaseBrightness
1494.wav,0.8333333333333334,lower the brightness of light bulbs,no wonder vastness of life been,DecreaseBrightness
1495.wav,0.875,lower the light in the children's play room,little lightning children's flavor,DecreaseBrightness
1496.wav,1.0,make all kids room lights red colored,need to gainesville like a color,SetLightColor
1497.wav,0.6666666666666666,make all lights pink in color,<unk> pink color,SetLightColor
1498.wav,0.4,make it darker in here,making darker in here,DecreaseBrightness
1499.wav,0.42857142857142855,make it darker in the waiting room,making her in the waiting room,DecreaseBrightness
15.wav,0.8333333333333334,Adjust the brightness to twenty two.,and the vitamins drinking too,SetLightBrightness
150.wav,0.7142857142857143,Change lights in garage to level five,translate encouraged level five,SetLightBrightness
1500.wav,0.25,make it less bright in the bed room,make it less bright in the bedroom,DecreaseBrightness
1501.wav,0.2,make it lighter in here,make it later in here,IncreaseBrightness
1502.wav,1.0,make it so the lounge light is pink,me alone i think,SetLightColor
1503.wav,0.6666666666666666,make lights red,make late,SetLightColor
1504.wav,1.0,make the light blue,me than i do,SetLightColor
1505.wav,0.8333333333333334,make the light color to pink,make their like <unk>,SetLightColor
1506.wav,0.5,make the light pink,make the life,SetLightColor
1507.wav,1.0,make the light red,me too like read,SetLightColor
1508.wav,0.2,make the lights go off,make the lights go out,SwitchLightOff
1509.wav,0.7142857142857143,make the lights red in the office,need the life threatening office,SetLightColor
151.wav,0.5,Change lights to blue.,change like the blue,SetLightColor
1510.wav,0.42857142857142855,make the lights to level twenty two,[noise] make the right to level thirty two,SetLightBrightness
1511.wav,0.2,make the living room lighter,make their living room lighter,IncreaseBrightness
1512.wav,0.2,make the studio lights brighter,make the studio lights data,IncreaseBrightness
1513.wav,0.8888888888888888,modify brightness of living room light bulb to seventy-three,modified myself off living room like they do seventy three,SetLightBrightness
1514.wav,0.5555555555555556,modify the color of all light bulbs into pink,modify the color oh all right well,SetLightColor
1515.wav,0.5,need light,need right,SwitchLightOn
1516.wav,0.4,need light in the kitchen,mean like in the kitchen,SwitchLightOn
1517.wav,0.0,no more light in here,no more light in here,SwitchLightOff
1518.wav,0.0,pantry light level should be two percent,pantry light level should be two percent,SetLightBrightness
1519.wav,1.0,pantry lights off.,do you live off,SwitchLightOff
152.wav,0.75,Change lights to pink,changing like to think,SetLightColor
1520.wav,0.25,pantry make it dark,country make it dark,SwitchLightOff
1521.wav,0.0,parking lights on please,parking lights on please,SwitchLightOn
1522.wav,1.3333333333333333,patio lights please,how do you like please,SwitchLightOn
1523.wav,0.5,patio lights turned on,audio like turned on,SwitchLightOn
1524.wav,0.8,pink lights near kitchen please,being life near kentucky,SetLightColor
1525.wav,1.0,please brighten the lounge,brightens alone,IncreaseBrightness
1526.wav,0.0,please brighten up the dining room,please brighten up the dining room,SwitchLightOn
1527.wav,1.0,please dim the lights,we used in the light,DecreaseBrightness
1528.wav,0.25,please give me lights,please give me the lights,SwitchLightOn
1529.wav,0.0,please give me lights in the kitchen,please give me lights in the kitchen,SwitchLightOn
153.wav,0.25,Change lights to red.,change lights to read,SetLightColor
1530.wav,0.2,please give me some light,please give me some right,SwitchLightOn
1531.wav,0.625,please give me some light in the kitchen,like in the kitchen,SwitchLightOn
1532.wav,0.25,please increase the brightness,clean increase the brightness,IncreaseBrightness
1533.wav,0.5,please increase the light brightness everywhere,increase the librarians everywhere,IncreaseBrightness
1534.wav,0.16666666666666666,please increase the meeting room brightness,increase the meeting room brightness,IncreaseBrightness
1535.wav,0.75,please lower basement lights,no basement lakes,DecreaseBrightness
1536.wav,0.8,please make the light blue,make their life,SetLightColor
1537.wav,1.0,please make the patio light red,me actually like right [laughter],SetLightColor
1538.wav,1.0,please need some light,from like,SwitchLightOn
1539.wav,0.8571428571428571,please need some light in the kitchen,some writing attention,SwitchLightOn
