,transcript,user_action
190,change all the lights to fifty,SetLightBrightness
191,dim made bedroom lights,DecreaseBrightness
192,dimmer the lights in the cubicle,DecreaseBrightness
193,dim the lights in the garden,DecreaseBrightness
194,dining room light at thirty nine,SetLightBrightness
195,dining room lights at twenty two percent percent,SetLightBrightness
196,dining room lights off please,SwitchLightOff
197,dining room needs to be at twelve percent percent,SetLightBrightness
198,not waste the lights decrease it please,DecreaseBrightness
199,double the brightness,IncreaseBrightness
200,entrance light level to ten,SetLightBrightness
201,change backyard red lighting to pink please,SetLightColor
202,enter inside to pink please,SetLightColor
203,entrance should be lit at intensity too,SetLightBrightness
204,garage to please,SetLightColor
205,get the bed dark,SwitchLightOff
206,get the light on now leave,SwitchLightOn
207,give me light rid the kitchen,SwitchLightOn
208,green is what would like to the lights to be at now,SetLightColor
209,green lights in the leave room,SetLightColor
210,green lights on in living room,SetLightColor
211,hallway it be less bright,DecreaseBrightness
212,changed child's bedroom to have create,SetLightColor
213,help me turn down the Make,DecreaseBrightness
214,help me and down the flat in the cellar,DecreaseBrightness
215,hey bright in the bedroom,IncreaseBrightness
216,cannot darkness turned up the brightness now,IncreaseBrightness
217,need if,SwitchLightOn
218,the need light on in the kitchen,SwitchLightOn
219,it you brighten up the meeting room,SwitchLightOn
220,Dim all all meeting on ten dim,SetLightColor
221,want to turn the made,SwitchLightOn
222,want you to make the light dimmer,DecreaseBrightness
223,urgently colored pink,SetLightColor
224,would like the you to get some nine,SwitchLightOn
225,illuminate cellar,SwitchLightOn
226,illuminate the kids room,SwitchLightOn
227,in my kids bedroom changed the brightness to fifty,SetLightBrightness
228,in my it's room turned the lights off,SwitchLightOff
229,in the backyard yard the lights need to be pink,SetLightColor
230,increase darkness in that on,IncreaseBrightness
231,increase brightness in the studio,IncreaseBrightness
232,increased the brightness of light,IncreaseBrightness
233,increased lighting into garage,IncreaseBrightness
234,change kids room it to pink,SetLightColor
235,increase the brightness,IncreaseBrightness
236,increase the brighness ten Set,IncreaseBrightness
237,increased the brightness in the basement,IncreaseBrightness
238,increase the brightness of entrance,IncreaseBrightness
239,increased the brightness of the garage,IncreaseBrightness
240,increased darkness after made lights,IncreaseBrightness
241,increase the brightness on the patio,IncreaseBrightness
242,is it possible to stand down the Make,DecreaseBrightness
243,is it possible to turn down the light in the living room,DecreaseBrightness
244,it's darken here,SwitchLightOn
245,change the laundry room lights to five less,SetLightBrightness
246,getting so darken here can you put the lights up,IncreaseBrightness
247,it's pretty bright in here is there are possibility you can turn the lights down,DecreaseBrightness
248,it's pretty dark here why don't you turn the lights up,IncreaseBrightness
249,so dark can here please turn up the lights just little,IncreaseBrightness
250,way too bright here turned on the brightness please,DecreaseBrightness
251,create bedroom like to red please,SetLightColor
252,ten lights on now,SwitchLightOn
253,kitchen no more lights,SwitchLightOff
254,and room brightness you,SetLightBrightness
255,near rid flat soon,SwitchLightOn
256,change light color to area,SetLightColor
257,laundry room lights to two,SetLightBrightness
258,let there be light,SwitchLightOn
259,cublicle lighting percent room,SetLightBrightness
260,light are in the that room,SwitchLightOn
261,light up garage,SwitchLightOn
262,lighting up ten made blue,IncreaseBrightness
263,lights are off,SwitchLightOff
264,lights at seventy-three tree in the bedroom please,SetLightBrightness
265,lights need brighten in the lounge,IncreaseBrightness
266,lights off changing room,SwitchLightOff
267,certain light colored pink,SetLightColor
268,lights off for entire house,SwitchLightOff
269,light in the garden,SwitchLightOff
270,light for in the toilets,SwitchLightOff
271,lights on,SwitchLightOn
272,like brighness please lit brighness please,SwitchLightOn
273,light should be set at level twenty two,SetLightBrightness
274,Quickly its way down in small meeting room,SwitchLightOff
275,living room lights,SwitchLightOff
276,the living room lights on for now please,SwitchLightOn
277,changed the light level to twenty in the bedroom,SetLightBrightness
278,lounge lights on please,SwitchLightOn
279,kids bedroom lights,DecreaseBrightness
280,lower lights brightness,DecreaseBrightness
281,able brightness,DecreaseBrightness
282,lower the brightness of lightbulb,DecreaseBrightness
283,above light in children's play room,DecreaseBrightness
284,light lights red colored,SetLightColor
285,make all lights pink and color,SetLightColor
286,make it darker in here,DecreaseBrightness
287,make it darker in the waiting room,DecreaseBrightness
288,i'd just the brightness to twenty two,SetLightBrightness
289,change lights and room Will level five,SetLightBrightness
290,make it less bright in the bedroom,DecreaseBrightness
291,make it lighter in here,IncreaseBrightness
292,make it to the lounge the pink,SetLightColor
293,make flat area,SetLightColor
294,make the light blue,SetLightColor
295,make the light color to pink,SetLightColor
296,make the light pink,SetLightColor
297,make the light area,SetLightColor
298,make the lights go off,SwitchLightOff
299,make the lights area in the office,SetLightColor
300,change lights to blue,SetLightColor
301,make lights to level thirty two,SetLightBrightness
302,make the living room lighter,IncreaseBrightness
303,make the brightest brighter,IncreaseBrightness
304,if pretty living room rid be two seventy-three tree,SetLightBrightness
305,modify the cellar of all to pink,SetLightColor
306,need light,SwitchLightOn
307,made light in the kitchen,SwitchLightOn
308,no more light in here,SwitchLightOff
309,pantry light level should be two percent percent,SetLightBrightness
310,pantry tad off,SwitchLightOff
311,change to pink,SetLightColor
312,pantry make it dark,SwitchLightOff
313,parking lights on please,SwitchLightOn
314,pretty lights please,SwitchLightOn
315,lit turned on,SwitchLightOn
316,pink inside one kitchen please,SetLightColor
317,please brightened lounge,IncreaseBrightness
318,please brighten up the dining room,SwitchLightOn
319,please in the lights,DecreaseBrightness
320,please give me lights,SwitchLightOn
321,please give me lights in the kitchen,SwitchLightOn
322,change lights to area,SetLightColor
323,please give me some light,SwitchLightOn
324,please give me some light in the kitchen,SwitchLightOn
325,please increase the brightness,IncreaseBrightness
326,please increase the light brightness everywhere,IncreaseBrightness
327,please increase the meeting room brightness,IncreaseBrightness
328,please color small like,DecreaseBrightness
329,please make the light blue,SetLightColor
330,please make the as you light red lamp,SetLightColor
331,increase one to it,SwitchLightOn
332,red me some light in the kitchen,SwitchLightOn
333,change blue lights to pink for me,SetLightColor
334,me some light,SwitchLightOn
335,play some light in the kitchen,SwitchLightOn
336,is area the let for lights to bring,SetLightColor
337,play switch lights off,SwitchLightOff
338,please switch off lounge flat,SwitchLightOff
339,please switch off the kitchen lights after you cook,SwitchLightOff
340,please switch the studio lights,SwitchLightOff
341,please the increase the brightness it's too dark,IncreaseBrightness
342,please turn down the light for me,DecreaseBrightness
343,please turn light on,SwitchLightOn
344,area the meeting room made postion pink,SetLightColor
345,please turn of laundry room light,SwitchLightOff
346,the turn lights everywhere,SwitchLightOff
347,please turn off parking lights,SwitchLightOff
348,less turn off the house lights,SwitchLightOff
349,please turn your light,SwitchLightOff
350,please turn off the lights of the nine room,SwitchLightOff
351,please turn on lights,SwitchLightOn
352,these turned on the lights of changing room,SwitchLightOn
353,these turn the pantry lights to level thirty nine,SetLightBrightness
354,put on the serial bulbs in the dining room,SwitchLightOn
355,change office lighter to blue please,SetLightColor
356,two the lighting tad of soon bring,SetLightColor
357,put the lights on the able,SwitchLightOn
358,reduce brightness of lightbulb,DecreaseBrightness
359,so at green light,SetLightColor
360,rid brightness off your flat to fifty,SetLightBrightness
361,set brightness off Boost to fifty,SetLightBrightness
362,set brightness to toilet,SetLightBrightness
363,set light level twenty two,SetLightBrightness
364,set the bedroom lights to thirty nine,SetLightBrightness
365,set the color of meeting room lights to blue,SetLightColor
366,set the lights to stand in the vestibule,SetLightBrightness
367,can you please turn down the lights,DecreaseBrightness
368,set the lights to the down position,SwitchLightOn
369,set the lights to twenty two in the office,SetLightBrightness
370,set the lights to twenty two percent percent,SetLightBrightness
371,set lights to zero brightness,SwitchLightOff
372,set the lights to zero brightness in the office,SwitchLightOff
373,red the living room light to twenty,SetLightBrightness
374,Lessen the shut flat to light,SetLightBrightness
375,set the vestibule lights to level thirty nine,SetLightBrightness
376,shine some light in here,SwitchLightOn
377,Find some light in here,SwitchLightOn
378,can you put light on in the backyard,SwitchLightOn
379,shine some lights in the office,SwitchLightOn
380,Shine the lights at level twelve,SetLightBrightness
381,shed down the its room light,SwitchLightOff
382,shut down the lights,SwitchLightOff
383,shut off the lights at the entrance,SwitchLightOff
384,shut off the lights in the garage,SwitchLightOff
385,shut off the lights in the blue,SwitchLightOff
386,shed off the light please,SwitchLightOff
387,shut off the lounge lights,SwitchLightOff
388,shut the lights down in the bathroom,SwitchLightOff
389,can you put the lights two in the cubicle,SetLightBrightness
390,shut the lights down in the entrance,SwitchLightOff
391,shut the lights off,SwitchLightOff
392,"Sir, in the office please set connected light bulbs to brightness of ten",SetLightBrightness
393,"Sir, please let the brightness of the connected lights to cold to fifty",SetLightBrightness
394,situated lights to thirty nine percent percent in the cubicle,SetLightBrightness
395,stop lighting the cubicle,SwitchLightOff
396,stop the lights,SwitchLightOff
397,stop the lights from shining in the bathroom,SwitchLightOff
398,entire the lights from shining in the shed,SwitchLightOff
399,change the backyard flat to green,SetLightColor
400,select intensity of the tubelight to turn percent,SetLightBrightness
401,set the lights in the changing room to level twenty two,SetLightBrightness
402,set light living room lights to ten percent percent,SetLightBrightness
403,rid the pantry darkness to don't the,SetLightBrightness
404,seventy-three tree is what brightness should be,SetLightBrightness
405,shut off the kitchen light,SwitchLightOff
406,so much darkness in here turn up the bulbs,IncreaseBrightness
407,some light,SwitchLightOn
408,some light in the kitchen,SwitchLightOn
409,some lights in the kitchen,SwitchLightOn
410,change the basement brightness to seventy-three tree,SetLightBrightness
411,studio lights off,SwitchLightOff
412,studio lights on please,SwitchLightOn
413,switch bathroom lit off,SwitchLightOff
414,switch house lights off,SwitchLightOff
415,lights of,SwitchLightOff
416,switch lights on,SwitchLightOn
417,switch lights on vestibule,SwitchLightOn
418,tree off laundry room light are,SwitchLightOff
419,switch the bathroom flat,SwitchLightOff
420,its off the lamps please,SwitchLightOff
421,change the basement brightness to two,SetLightBrightness
422,switch off the light in the toilet,SwitchLightOff
423,switch off the lights,SwitchLightOff
424,child's are be to like all,SwitchLightOff
425,switch the garage light to pink,SetLightColor
426,switched the lamps off,SwitchLightOff
427,switch the like blue,SetLightColor
428,take all lights off as soon as possible,SwitchLightOff
429,the backyard yard is too bright and you turned it down little,DecreaseBrightness
430,the backyard room lights need change to blue,SetLightColor
431,the sun five near to colored,SetLightColor
432,adjust the select lights to twenty two,SetLightBrightness
433,change the bedroom lights the blue,SetLightColor
434,the room is done take over the light,SwitchLightOff
435,the cellar is cold and dark please turn up the brightness,IncreaseBrightness
436,the house is getting too little light turn up the brightness please,IncreaseBrightness
437,the kitchen should not be so bright,DecreaseBrightness
438,the large in room needs to be turned off,SwitchLightOff
439,the light is too bright so turn it down the light is too bright so turn it down,DecreaseBrightness
440,like need to be blue in the studio,SetLightColor
441,the lit has too much lights,DecreaseBrightness
442,the blue is little dark turn up the brightness little,IncreaseBrightness
443,the office has too much light it needs to be turned down,DecreaseBrightness
444,changed the brightness of the lights to twenty two percent,SetLightBrightness
445,the office is little too dark these turn on the lights,IncreaseBrightness
446,the parking area need the lights of,SwitchLightOff
447,the shed needs more light,IncreaseBrightness
448,the sun is going down in its getting dark turn the lights up,IncreaseBrightness
449,the toilets are too bright turn the lights down,DecreaseBrightness
450,there is no one in the living room take the lit,SwitchLightOff
451,this entire appartment is in darkness you need to turn the light brightness up,IncreaseBrightness
452,this room is pretty dark just turned down the brightness,IncreaseBrightness
453,lighting light change to level thirty nine,SetLightBrightness
454,kitchen tad cubicle,SetLightColor
455,changed the brightness to fifty in the entire appartment,SetLightBrightness
456,turn all light bulbs into pink color,SetLightColor
457,turned that from lights,IncreaseBrightness
458,turn bedroom red,SetLightColor
459,laundry them the lighting in the pantry,DecreaseBrightness
460,turn down minutes everywhere,DecreaseBrightness
461,turned down the brightness level of lightbulb,DecreaseBrightness
462,turned down the lamps bit,DecreaseBrightness
463,trip them the light tad bit please,DecreaseBrightness
464,stand down the flat in the entrance room,DecreaseBrightness
465,don't blue,SetLightColor
466,in the brightness can and close the,SetLightBrightness
467,turn flat rid,SetLightColor
468,are flat up in house,IncreaseBrightness
469,stand off all bedroom lamps please,SwitchLightOff
470,turn off bedroom lit,SwitchLightOff
471,done of dining room light,SwitchLightOff
472,turn off lights and lit,SwitchLightOff
473,down after lamps,SwitchLightOff
474,turn off the lights,SwitchLightOff
475,turn off the lights in the bedroom,SwitchLightOff
476,don't off do it flat,SwitchLightOff
477,changed the brightness to twenty,SetLightBrightness
478,turned off the light to turn,SetLightBrightness
479,turn on kitchen lights,SwitchLightOn
480,turn on the waiting room lights,SwitchLightOn
481,turn on the garden light,SwitchLightOn
482,brighter office,SwitchLightOn
483,the afternoon. the lights of there,SwitchLightOn
484,turn on the lights in the children room,SwitchLightOn
485,turn on the lights urgently,SwitchLightOn
486,don't too your light up,SwitchLightOn
487,Throughout the basement lights blue,SetLightColor
488,change the brightness to two,SetLightBrightness
489,bring to brighten us down,DecreaseBrightness
490,turn the garden lights to brightness too please,SetLightBrightness
491,turn the house light pink,SetLightColor
492,stand the tad down in the backyard,DecreaseBrightness
493,need the light down in the bedroom,DecreaseBrightness
494,turn the light down in the tad,DecreaseBrightness
495,turn the light down,DecreaseBrightness
496,can it off,SwitchLightOff
497,on the let trip,SetLightColor
498,turn the lights up,IncreaseBrightness
499,changed the bulbs to twelve set in brightness,SetLightBrightness
500,turned lights pink,SetLightColor
501,turn up light can basement,IncreaseBrightness
502,turn of light and let,IncreaseBrightness
503,turn up the brightness,IncreaseBrightness
504,turn up the brightness in the patio,IncreaseBrightness
505,can up the darkness in the studio,IncreaseBrightness
506,down at the flat in the ten,IncreaseBrightness
507,why is everywhere so dark the need to turn up the brightness,IncreaseBrightness
508,why is it so bright in here please turn it down notch,DecreaseBrightness
509,why is there are no lights in the waiting room turn it out please,IncreaseBrightness
510,changed the garage less to rid,SetLightColor
511,will you turn the brightness to level thirty nine,SetLightBrightness
512,change the color of the lights to blue in the dining room,SetLightColor
513,change the color of the lights to blue,SetLightColor
514,adjust the change of home. intensity of the lighting to two percent percent,SetLightBrightness
515,change the color of the flat to green,SetLightColor
516,is the color of the made to pink,SetLightColor
517,change the color to blue,SetLightColor
518,change the cellar to pink,SetLightColor
519,change the cubicle light sun to ten,SetLightBrightness
520,change the garage lights to Make,SetLightColor
521,change the kids bedroom light bulb cellar to green,SetLightColor
522,change the kitchen lights to green,SetLightColor
523,bring the can on serial into,SetLightColor
524,change the laundry room lights to green,SetLightColor
525,Lessen the glow of the bulb to level two,SetLightBrightness
526,in cellar red room red,SetLightColor
527,changed the light blue,SetLightColor
528,nine the light color to pink please,SetLightColor
529,change the light setting to on,SwitchLightOn
530,change the light to blue,SetLightColor
531,change the light to pink,SetLightColor
532,changed like to pink,SetLightColor
533,change the lighting of the pantry to thirty nine,SetLightBrightness
534,this the lighting to Dim,DecreaseBrightness
535,change lighting to fifty in the facilities,SetLightBrightness
536,Lessen the kids lighting to ten,SetLightBrightness
537,change the light's area,SetLightColor
538,change the lights in the child's bedroom to pink,SetLightColor
539,change the lights in the entrance to blue,SetLightColor
540,change the lights in the kids bedroom to blue,SetLightColor
541,changed the lights in the parking area to green,SetLightColor
542,change the lights in the parking room,SwitchLightOff
543,in the flat in the toilet green,SetLightColor
544,change the lights into blue,SetLightColor
545,change lights to green please,SetLightColor
546,change the with to pink please,SetLightColor
547,activate garden lights,SwitchLightOn
548,adjust the laundry room lighting to up thirty nine,SetLightBrightness
549,change the lights to pink,SetLightColor
550,change the lights to red,SetLightColor
551,change the lights to red in the parking section,SetLightColor
552,change the living room lights to twenty,SetLightBrightness
553,change the office light to pink,SetLightColor
554,changed office lights to of meeting,SetLightBrightness
555,changed parking room to green,SetLightColor
556,changed vestibule lighting to two percent percent,SetLightBrightness
557,change the yard lights to green,SetLightColor
558,change toilets light color to red,SetLightColor
559,adjust the lighting to level twenty two,SetLightBrightness
560,Click on the lights,SwitchLightOn
561,color change lights to red,SetLightColor
562,cold flat pink,SetLightColor
563,color lights red,SetLightColor
564,color the its all red,SetLightColor
565,color the light's red,SetLightColor
566,cold you change the brightness of the lights on the patio to seventy-three tree,SetLightBrightness
567,could you change the light to red,SetLightColor
568,could you increase the brightness of the lights,IncreaseBrightness
569,could you increase the light brightness in the dining room,IncreaseBrightness
570,just the light its less bright,DecreaseBrightness
571,could you make the lights in the basement brighter,IncreaseBrightness
572,could you please turn my lights on,SwitchLightOn
573,could you please turn the light on I'm some,SwitchLightOn
574,could you switch on some lights,SwitchLightOn
575,could you turn down the bedroom lights,DecreaseBrightness
576,could you turn the lights on please,SwitchLightOn
577,but of lowered with garden light,SwitchLightOff
578,cut the waiting room light,SwitchLightOff
579,dark in the waiting room,SwitchLightOff
580,decrease brightness,DecreaseBrightness
581,adjust lights to the setting,SwitchLightOff
582,the shed brightness in after room,DecreaseBrightness
583,decreased brightness in boardroom by one third.,DecreaseBrightness
584,decrease brightness please,DecreaseBrightness
585,the tree light brighness in little,DecreaseBrightness
586,decrease light brightness please,DecreaseBrightness
587,create lights in house,DecreaseBrightness
588,decreased the brightness,DecreaseBrightness
589,decreased the brightness of the bulbs,DecreaseBrightness
590,increased the brightness of lights can shed,DecreaseBrightness
591,adjust living room brightness to level too,SetLightBrightness
592,decrease the brightness please,DecreaseBrightness
593,decrease the intensity of the lights,DecreaseBrightness
594,decreased the intensity of the lights in the kids bedroom,DecreaseBrightness
595,decreased the intensity of the pantry waiting,DecreaseBrightness
596,decrease the light brightness in the cubicle,DecreaseBrightness
597,decreased light intensity,DecreaseBrightness
598,decreased light intensity in the entrance,DecreaseBrightness
599,decreased the light intensity in the entrance to zero,SwitchLightOff
600,decreased the light intensity in the office,DecreaseBrightness
601,decrease the light intensity in the vestibule to zero,SwitchLightOff
602,just pink you like to blue,SetLightColor
603,decrease the light intensity to zero,SwitchLightOff
604,decrease the lighting in the laundry room,DecreaseBrightness
605,decrease the lighting so it's not so bright,DecreaseBrightness
606,decrease the light's intensity in my bedroom balcony,DecreaseBrightness
607,dim lights please,DecreaseBrightness
608,can lights please,DecreaseBrightness
609,dim bathroom,DecreaseBrightness
610,dim the light in the it's bedroom,DecreaseBrightness
611,them the lighting completely in the waiting room,SwitchLightOff
612,dim the lights,DecreaseBrightness
613,i'd just the pantry lighting level thirty nine,SetLightBrightness
614,dim the lights completely in the living room,SwitchLightOff
615,dim the lights for me,DecreaseBrightness
616,dim the lights in the backyard,DecreaseBrightness
617,dim the lights in the bathroom,DecreaseBrightness
618,dim lights in the get,DecreaseBrightness
619,dim the lights in the living room,DecreaseBrightness
620,the the light's Place,DecreaseBrightness
621,can the lights please,DecreaseBrightness
622,dimmer,DecreaseBrightness
623,dim the studio lighting,DecreaseBrightness
624,adjust toilet lighting to the two setting,SetLightBrightness
625,do me here and sun the flat on,SwitchLightOn
626,do turn out on my bedroom light now,SwitchLightOn
627,don't forget to turn off the lights in the studio,SwitchLightOff
628,level light entrance from shining,SwitchLightOff
629,Eliminate the lighting,SwitchLightOff
630,and the lights from shining in the cubicle,SwitchLightOff
631,and sure the lights are off in the waiting room,SwitchLightOff
632,Find the bulbs for the cellar and turn them up,IncreaseBrightness
633,get me more light,IncreaseBrightness
634,get me some lights in the ten,SwitchLightOn
635,get the inside to at made do,SetLightBrightness
636,get rid of the lights in the bathroom,SwitchLightOff
637,get the cellar lights on,SwitchLightOn
638,get the lounge room lights up twenty two,SetLightBrightness
639,get the lights on,SwitchLightOn
640,get the lights on please,SwitchLightOn
641,Make the living room Situate on please,SwitchLightOn
642,get the room brighter please,IncreaseBrightness
